Date,Name,Moving from,Moving to,Fee
"August 1 , 2008",Josip Barišić,Segesta,Tubize,Undisclosed
"August 1 , 2008",Osahon Eboigbe,Cercle Brugge,OH Leuven,Loan
"August 1 , 2008",Jason Vandelannoite,Bursaspor,Tubize,Undisclosed
"August 4 , 2008",Leon Benko,Nürnberg,Standard Liège,Undisclosed
"August 5 , 2008",Kamulete Makiese,Lille,Charleroi,Loan
"August 6 , 2008",Thomas Phibel,Standard Liège,Brussels,Loan
"August 7 , 2008",Danijel Subotić,Portsmouth,Zulte Waregem,Loan
"August 9 , 2008",Tarik Bendamou,Marrakech,Charleroi,Free
"August 9 , 2008",Abdessalam Benjelloun,Hibernian,Charleroi,Loan
"August 10 , 2008",Vincenzo Verhoeven,Germinal Beerschot,Hamme,Undisclosed
"August 13 , 2008",Digão,Milan,Standard Liège,Loan
"August 13 , 2008",Sébastien Siani,Anderlecht,Sint-Truiden,Loan
"August 16 , 2008",Serhat Akın,Anderlecht,Kocaelispor,Free
"August 18 , 2008",Lander Van Steenbrugghe,Zulte Waregem,OH Leuven,Loan
"August 19 , 2008",Roland Lamah,Anderlecht,Le Mans,€3.5m
"August 20 , 2008",Dmitri Bulykin,Leverkusen,Anderlecht,Undisclosed
"August 21 , 2008",Romain Beynié,Lyon,Tubize,Loan
"August 22 , 2008",Andrea Mbuyi-Mutombo,Portsmouth,Zulte Waregem,Loan
"August 29 , 2008",Mansour Boutabout,Angers,Kortrijk,Undisclosed
"August 29 , 2008",Silvio Proto,Anderlecht,Germinal Beerschot,Loan
