Name,Age,Hometown,Eliminated
Christy Hemme,23,"Poway , California",Winner
Carmella DeCesare,26,"Avon Lake , Ohio",Runner-Up
Joy Giovanni,26,"Boston , Massachusetts",3rd Place
Amy Weber,34,"Mapleton , Illinois",4th Place
Maria Kanellis,22,"Ottawa , Illinois",5th Place
Tracie Wright,24,"Atlanta , Georgia",6th Place
Michelle McCool,24,"Palatka , Florida",7th Place
Chandra Costello,28,"Liberty , Kentucky",8th Place
Camille Anderson,26,"Dallas , Texas",9th Place
Julia Costello,28,"Liberty , Kentucky",10th Place
