Cup,Champion,Result,Runner-up,Host location ( s )
1919,University of Toronto Schools,29-8 ( TG ),Regina Patricia,Toronto
1920,Toronto Canoe Club Paddlers,15-5 ( TG ),Selkirk Fishermen,Toronto
1921,Winnipeg Junior Falcons,11-9 ( TG ),Stratford Midgets,Toronto
1922,Fort William Great War Vets,8-7 ( TG ),Regina Patricia,Winnipeg
1923,University of Manitoba Bisons,14-6 ( TG ),Kitchener Colts,Toronto
1924,Owen Sound Greys,7-5 ( TG ),Calgary Canadians,Winnipeg
1925,Regina Pats,2-0,Toronto Aura Lee,Toronto
1926,Calgary Canadians,2-1,Queen 's University,Winnipeg
1927,Owen Sound Greys,2-0,Port Arthur West End Jrs,Toronto
1928,Regina Monarchs,2-1,Ottawa Gunners,Toronto
1929,Toronto Marlboros,2-0,Elmwood Millionaires,Toronto
1930,Regina Pats,2-0,West Toronto Nationals,Winnipeg
1931,Elmwood Millionaires,2-1,Ottawa Primroses,Toronto and Ottawa
1932,Sudbury Cub Wolves,2-1,Winnipeg Monarchs,Winnipeg
1933,Newmarket Redmen,2-0,Regina Pats,Toronto
1934,Toronto St. Michael 's Majors,2-0,Edmonton A.C . Athletics,Winnipeg
1935,Winnipeg Monarchs,2-1,Sudbury Cub Wolves,Winnipeg
1936,West Toronto Nationals,2-0,Saskatoon Wesleys,Toronto
1937,Winnipeg Monarchs,2-1,Copper Cliff Redmen,Toronto
1938,St. Boniface Seals,3-2,Oshawa Generals,Toronto
