Country,Team,Domestic competition,Times won,Times runners-up
France,Clermont,Top 14,3,1
England,Harlequins,Aviva Premiership,3,1
England,Gloucester,Aviva Premiership,2,2
Wales,Cardiff Blues,Pro14,2,0
England,Northampton Saints,Aviva Premiership,2,0
England,Sale Sharks,Aviva Premiership,2,0
England,Bath,Aviva Premiership,1,3
France,Bourgoin,Top 14,1,2
France,Stade Français,Top 14,1,2
France,Pau,Top 14,1,1
France,Biarritz,Top 14,1,0
France,Colomiers,Top 14,1,0
Ireland,Leinster,Pro14,1,0
England,Wasps,Aviva Premiership,1,0
France,Montpellier,Top 14,1,0
France,Castres,Top 14,0,2
France,Toulon,Top 14,0,2
France,Agen,Top 14,0,1
Scotland,Edinburgh,Pro14,0,1
France,La Rochelle,Top 14,0,1
