Season,Winner,Team,Country
2000-01,Vladimir Turikov,Spartak Moscow,Russia
2001-02,Alexei Amelin,Lokomotiv Yaroslavl,Russia
2002-03,Alexander Semak,Dynamo Moscow,Russia
2003-04,Sergei Osipov,Metallurg Magnitogorsk,Russia
2004-05,Valeri Kamensky,Khimik Voskresensk,Russia
2005-06,Andrei Potaichuk,Khimik Moscow Oblast,Russia
2006-07,Albert Leshev,Khimik Moscow Oblast,Russia
2007-08,Albert Leshev,Khimik Moscow Oblast,Russia
2008-09,Oleg Petrov,Ak Bars Kazan,Russia
2009-10,Alexander Koreshkov,Barys Astana,Kazakhstan
2010-11,Sergei Fedorov,Metallurg Magnitogorsk,Russia
2011-12,Andrei Subbotin,Avtomobilist Yekaterinburg,Russia
2012-13,Maxim Sokolov,Neftekhimik Nizhnekamsk,Russia
2013-14,Alexei Kalyuzhny,Dinamo Minsk,Belarus
