Name,Location,Year,Size ( gross leasable area )
LuLu International Shopping Mall,"Edapally , Kochi",2013,"2,500,000 sq ft ( 230,000 m )"
Hilite Mall,"Palazhi , Kozhikode",2014,"1,400,000 sq ft ( 130,000 m ) ( total built area )"
Mall of Travancore,"Chakka , Thiruvananthapuram",2018,"700,000 sq ft ( 65,000 m ) ( total built area )"
Centre Square Mall,"MG Road , Kochi",2014,"630,000 sq ft ( 59,000 m ) ( total built area )"
Sobha City Mall,"Puzhakkal , Thrissur",2015,"600,000 sq ft ( 56,000 m )"
Gold Souk Grande,"Vytilla , Kochi",2011,"500,000 sq ft ( 46,000 m )"
RP Mall,"Mavoor Road , Kozhikode",2012,
Oberon Mall,"Edapally , Kochi",2008,"350,000 sq ft ( 33,000 m ) ( total built area )"
Y Mall,"Triprayar , Kochi",2018,"205,000 sq ft ( 100,000 m )"
Mall of Joy,"Municipal Office Road , Thrissur",2014,"200,000 sq ft ( 19,000 m )"
Abad Nucleus Mall,"Maradu , Kochi",2010,"120,000 sq ft ( 11,000 m )"
RP Mall,"Chinnakada , Kollam",2012,"100,000 sq ft ( 9,300 m )"
H & J Mall,"Karunagapally , Kollam",2014,"120,000 sq ft ( 11,000 m )"
