Season,Races,Drivers ' champion,Manufacturers ' champion
1982,29,Jack Ingram,Pontiac
1983,35,Sam Ard,Oldsmobile
1984,29,Sam Ard,Pontiac
1985,27,Jack Ingram,Pontiac
1986,31,Larry Pearson,Pontiac
1987,27,Larry Pearson,Chevrolet
1988,30,Tommy Ellis,Buick
1989,29,Rob Moroso,Buick
1990,31,Chuck Bown,Buick
1991,31,Bobby Labonte,Oldsmobile
1992,31,Joe Nemechek,Chevrolet
1993,28,Steve Grissom,Chevrolet
1994,28,David Green,Chevrolet
1995,26,Johnny Benson Jr,Ford
1996,26,Randy LaJoie,Chevrolet
1997,30,Randy LaJoie,Chevrolet
1998,31,Dale Earnhardt Jr,Chevrolet
1999,32,Dale Earnhardt Jr,Chevrolet
2000,32,Jeff Green,Chevrolet
2001,33,Kevin Harvick,Chevrolet
