Medal,Name,Sport,Event
Gold,Prawat Wahoram,Athletics,Men 's 5000m T54
Silver,Prawat Wahoram,Athletics,Men 's 1500m T54
Silver,Saichon Konjen,Athletics,Men 's 200m T54
Silver,Saichon Konjen,Athletics,Men 's 100m T54
Silver,Saichon Konjen Supachai Koysub Pichet Krungget Prawat Wahoram,Athletics,Men 's 4 × 400 m Relay T53/T54
Silver,Saichon Konjen Supachai Koysub Pichet Krungget Prawat Wahoram,Athletics,Men 's 4 × 100 m Relay T53/T54
Bronze,Saysunne Jana,Wheelchair Fencing,Women 's Individual Épée Category B
Bronze,Samkhoun Anon,Powerlifting,Women 's -52 kg
Bronze,Saichon Konjen,Athletics,Men 's 400m T54
Bronze,Prawat Wahoram,Athletics,Men 's 800m T54
Bronze,Narong Kasanun,Powerlifting,Men 's -52 kg
Bronze,Supachai Koysub,Athletics,Men 's 100m T54
Bronze,Peth Rungsri,Athletics,Men 's 200m T52
