Rank,Club,Revenue ( € million ),Country,Change
1,Real Madrid,438.6,Spain,
2,Barcelona,398.1,Spain,
3,Manchester United,349.8,England,
4,Bayern Munich,323.0,Germany,
5,Arsenal,274.1,England,
6,Chelsea,255.9,England,
7,Milan,235.8,Italy,3
8,Liverpool,225.3,England,1
9,Internazionale,224.8,Italy,
10,Juventus,205.0,Italy,2
11,Manchester City,152.8,England,8
12,Tottenham Hotspur,146.3,England,3
13,Hamburger SV,146.2,Germany,2
14,Lyon,146.1,France,1
15,Marseille,141.1,France,1
16,Schalke 04,139.8,Germany,
17,Atlético Madrid,124.5,Spain,5
18,Roma,122.7,Italy,6
19,VfB Stuttgart,114.8,Germany,5
20,Aston Villa,109.4,England,5
