Name,Area ( km² ),Country,River
Marajó,"40,100",Brazil,Amazon River / Pará River
Ilha do Bananal,"19,162",Brazil,Araguaia River
Tupinambarana,"11,850",Brazil,Amazon River
Bahr al Jabal Island,"7,929",South Sudan,Bahr al Jabal Bahr el Zeraf
Holland / Utrecht,"7,361",Netherlands,Rhine River IJssel River
Ilha Grande de Gurupá,"4,864",Brazil,Amazon River
Margarita Island ( Colombia ),"2,832",Colombia,Magdalena River
Uarini Island,"2,339",Brazil,"Uarini River , Amazon River"
Boven Digul,"2,171",Indonesia,"Digul River , Kawaga River"
Richards Island,"2,165",Canada,Mackenzie River
Krasnoslobodsk,"2,002",Russia,"Volga River , Akhtuba River"
Veľký Žitný ostrov,"1,885.2",Slovakia,Danube
Hatiya Island,"1,508.23",Bangladesh,Meghna River
Letea Island,"1,480",Romania,Danube River
Camargue,"1,453",France,"Grand Rhone , Petit Rhone"
Bhola Island,"1,441",Bangladesh,Meghna River
Chongming Island,"1,267",China,Yangtze River
Majuli,"1,250",India,Brahmaputra River
Ile à Morfil,"1,250",Senegal,Senegal River
Dibru Saikhowa,765,India,Brahmaputra River
