Airport name,ICAO / TC LID / IATA,Location
Montréal ( Bell ) Heliport,CSW5,Montreal
Montréal East ( AIM ) Heliport,CSH9,Montreal
Montréal/Heliport Senneville,CHS5,Montreal
Montréal/Kruger Heliport,CSN2,Montreal
Montréal/Laval ( Artopex Plus ) Heliport,CLP2,Montreal
Montréal/Les Cèdres Heliport,CSH6,Les Cèdres
Montréal/Longueuil ( Centre Hospitalier Pierre-Boucher ) Heliport,CCH5,"Hôpital Pierre Boucher , Montreal"
Montréal/Mirabel Hélico Heliport,CMH4,Montreal
Montréal/Passport Hélico Heliport,CPP8,Montreal
Montréal/Point Zero Heliport,CPZ6,Montreal
Montréal/Saint-Hubert Heli-Inter Heliport,CTG2,"Saint-Hubert , Longueuil"
Montréal ( Sacre-Coeur ) Heliport,CSZ8,"Hôpital du Sacré-Cœur de Montréal , Montreal"
Valleyfield ( Ciment Deval Inc ) Heliport,CSY5,Salaberry-de-Valleyfield
