Date,Guest Co-Host,Guests/Segments
January 2,Mark Consuelos,"Tyra Banks , Ben Flajnik , New Year 's Fitness Week - Turbo Kick"
January 3,Jim Parsons,"William H. Macy , Isaac Mizrahi , New Year 's Fitness Week - P90X"
January 4,David Duchovny,"Terrence Howard , New Year 's Fitness Week - Brooke Burke"
January 5,Rob Lowe,"Darren Criss , New Year 's Fitness Week - Zumba"
January 6,Rob Lowe,"Kristen Bell , Jennifer Morrison , New Year 's Fitness Week - TRX Suspension Training"
January 9,Reggie Bush,"Mark Wahlberg , Meal Makeover Week - Jorge Cruise"
January 10,Carl Edwards,"Kate Beckinsale , Laura Prepon , Meal Makeover Week - Tanya Zuckerbrot"
January 11,Boomer Esiason,"Jane Krakowski , Mike The Situation Sorrentino , Meal Makeover Week - Melina Jampolis"
January 12,Jesse Palmer,"Dolly Parton , Miranda Cosgrove , Meal Makeover Week - Wendy Bazilian , Lucy the World 's Smallest Working Dog , LIVE 's Hawaiian Dream Wedding Giveaway Finalists"
January 13,Apolo Anton Ohno,"Lana Parrilla , Common , Meal Makeover Week - Heidi Skolnik"
January 16,Seth Meyers,"Simon Baker , Kevin Hart , LIVE 's Hawaiian Dream Wedding Giveaway Week"
January 17,Seth Meyers,"Jessica Alba , Matt Bomer , LIVE 's Hawaiian Dream Wedding Giveaway Week"
January 18,Mario Lopez,"Marg Helgenberger , Mark Feuerstein , LIVE 's Hawaiian Dream Wedding Giveaway Week"
January 19,Dana Carvey,"Ewan McGregor , Elizabeth Banks , LIVE 's Hawaiian Dream Wedding Giveaway Week"
January 20,Dana Carvey,"Carla Gugino , Building a Better Toolbox , LIVE 's Hawaiian Dream Wedding Giveaway Week"
January 23,Kim Kardashian,"Lucy Lawless , Kevin McHale , Peter Gros ' Animals , Announcement of LIVE 's Hawaiian Dream Wedding Winners"
January 24,Mary J. Blige,"Cynthia Nixon , Chris Harrison"
January 25,Kristin Chenoweth,"Alan Cumming , Emmy Rossum , Ingrid Michaelson"
January 26,Cat Deeley,"Nick Jonas , Rachael Ray"
January 27,Carrie Ann Inaba,"Chelsea Handler , Winter Health Tips for Dogs , Check-In with Las Vegas GNO"
