,Members,Group,State,Votes
1,Antonio Tajani,EPP,Italy,"452 , Round 1"
2,Mairead McGuinness,EPP,Ireland,"441 , Round 1"
3,Rainer Wieland,EPP,Germany,"437 , Round 1"
4,Ramón Luis Valcárcel,EPP,Spain,"406 , Round 1"
5,Ildikó Pelczné Gáll,EPP,Hungary,"400 , Round 1"
6,Adina Vălean,EPP,Romania,"394 , Round 1"
7,Corina Crețu,S & D,Romania,"406 , Round 2"
8,Sylvie Guillaume,S & D,France,"406 , Round 2"
9,David Sassoli,S & D,Italy,"394 , Round 2"
10,Olli Rehn,ALDE,Finland,"377 , Round 3"
11,Alexander Graf Lambsdorff,ALDE,Germany,"365 , Round 3"
12,Ulrike Lunacek,Greens/EFA,Austria,"319 , Round 3"
13,Dimitrios Papadimoulis,GUE/NGL,Greece,"302 , Round 3"
14,Ryszard Czarnecki,ECR,Poland,"284 , Round 3"
