Position,Player,Transferred To,Fee,Date
DF,Alex Silva,Flamengo,Loan return,21 November 2012
MF,Willian Magrão,Grêmio,Loan return,4 December 2012
FW,Wallyson,São Paulo,End of contract,31 December 2012
MF,Souza,Portuguesa,End of contract,31 December 2012
MF,Walter Montillo,Santos,€6M,3 January 2013
DF,Mateus,Sport,Undisclosed fee,4 January 2013
FW,Wellington Paulista,West Ham,On loan,5 January 2013
MF,Diego Arias,Free Agent,Contract termination,5 January 2013
DF,Diego Renan,Criciúma,On loan,5 January 2013
FW,Fabinho,Criciúma,On loan,5 January 2013
DF,Gilson,Criciúma,On loan,5 January 2013
MF,Amaral,Criciúma,On loan,5 January 2013
MF,Sandro Silva,Vasco da Gama,Contract termination,6 January 2013
MF,Pedro Ken,Vasco da Gama,On loan,6 January 2013
MF,Charles,Palmeiras,On loan,6 February 2013
MF,Marcelo Oliveira,Palmeiras,On loan,6 February 2013
DF,Rafael Donato,Bahia,On loan,17 April 2013
MF,Alisson,Vasco da Gama,On loan,18 April 2013
MF,Ananias,Palmeiras,On loan,29 May 2013
FW,Wellington Paulista,Cricíuma,On loan,6 June 2013
