,Name on the Register,Date listed,Location,City or town
1,Alpine Tunnel Historic District,"April 1 , 1996 ( # 80004632 )","Along the Denver , South Park and Pacific Railroad tracks from Quartz to Hancock 38°37′46″N 106°24′02″W / 38.6294°N 106.4006°W / 38.6294 ; -106.4006 ( Alpine Tunnel Historic District )",Pitkin
2,Chance Gulch Site,"December 6 , 2006 ( # 06001102 )",Address Restricted,Gunnison
3,Crested Butte Denver and Rio Grande Railroad Depot,"May 10 , 2001 ( # 01000444 )",716 Elk Ave. 38°52′11″N 106°58′41″W / 38.869722°N 106.978056°W / 38.869722 ; -106.978056 ( Crested Butte Denver and Rio Grande Railroad Depot ),Crested Butte
4,Crystal Mill,"July 5 , 1985 ( # 85001493 )","County Road 3 , 7 miles southeast of Marble 39°03′32″N 107°06′14″W / 39.058889°N 107.103889°W / 39.058889 ; -107.103889 ( Crystal Mill )",Crystal
5,Curecanti Archeological District,"August 15 , 1984 ( # 84000852 )",Curecanti National Recreation Area 38°28′14″N 107°18′05″W / 38.4705°N 107.3015°W / 38.4705 ; -107.3015 ( Curecanti Archeological District ),Gunnison
6,Edgerton House,"April 1 , 1998 ( # 98000293 )",514 W. Gunnison Ave. 38°32′33″N 106°55′58″W / 38.5425°N 106.932778°W / 38.5425 ; -106.932778 ( Edgerton House ),Gunnison
7,Fisher-Zugelder House and Smith Cottage,"January 5 , 1984 ( # 84000853 )",601 N. Wisconsin St. 38°33′00″N 106°55′41″W / 38.55°N 106.928056°W / 38.55 ; -106.928056 ( Fisher-Zugelder House and Smith Cottage ),Gunnison
8,Gunnison River Bridge I,"October 15 , 2002 ( # 02001152 )",U.S. Highway 50 service road at milepost 155.41 38°31′58″N 106°57′08″W / 38.532711°N 106.952259°W / 38.532711 ; -106.952259 ( Gunnison River Bridge I ),Gunnison
9,Gunnison River Bridge II,"October 15 , 2002 ( # 02001151 )",U.S. Highway 50 service road at milepost 155.59 38°32′02″N 106°56′57″W / 38.533947°N 106.949168°W / 38.533947 ; -106.949168 ( Gunnison River Bridge II ),Gunnison
10,Haxby House,"April 4 , 1996 ( # 96000355 )",101 W. Silver 39°04′22″N 107°11′16″W / 39.072778°N 107.187778°W / 39.072778 ; -107.187778 ( Haxby House ),Marble
11,Johnson Stage Station,"August 28 , 2017 ( # 16000667 )",2.2 mi . S. of the jct . of Cty . Rd . 64 & US 149 38°19′14″N 107°13′23″W / 38.320493°N 107.223173°W / 38.320493 ; -107.223173 ( Johnson Stage Station ),Powderhorn vicinity
12,Marble City State Bank Building,"September 17 , 1999 ( # 99001146 )",105 W. Main St. 39°04′19″N 107°11′17″W / 39.071944°N 107.188056°W / 39.071944 ; -107.188056 ( Marble City State Bank Building ),Marble
13,Marble High School,"August 3 , 1989 ( # 89000989 )",412 Main St. 39°04′18″N 107°11′32″W / 39.071667°N 107.192222°W / 39.071667 ; -107.192222 ( Marble High School ),Marble
14,Marble Jailhouse,"November 22 , 2016 ( # 16000783 )",209 E. State St. 39°04′16″N 107°11′06″W / 39.071052°N 107.184904°W / 39.071052 ; -107.184904 ( Marble Jailhouse ),Marble
15,Marble Mill Site,"February 7 , 1979 ( # 79000610 )",Park and W. 3rd Sts . 39°04′09″N 107°11′31″W / 39.069167°N 107.191944°W / 39.069167 ; -107.191944 ( Marble Mill Site ),Marble
16,Marble Town Hall,"August 3 , 1989 ( # 89000988 )",407 Main St. 39°04′19″N 107°11′31″W / 39.071944°N 107.191944°W / 39.071944 ; -107.191944 ( Marble Town Hall ),Marble
17,William D. Parry House,"August 3 , 1989 ( # 89000987 )",115 Main St. 39°04′19″N 107°11′19″W / 39.071944°N 107.188611°W / 39.071944 ; -107.188611 ( William D. Parry House ),Marble
18,Rimrock School,"October 12 , 2000 ( # 00001195 )",County Road 24 38°23′21″N 107°29′05″W / 38.389167°N 107.484722°W / 38.389167 ; -107.484722 ( Rimrock School ),Sapinero
19,St. Paul 's Church,"August 3 , 1989 ( # 89000990 )",123 State St. 39°04′16″N 107°11′21″W / 39.071111°N 107.189167°W / 39.071111 ; -107.189167 ( St. Paul 's Church ),Marble
20,Town of Crested Butte,"May 29 , 1974 ( # 74002279 )","Roughly bounded by Maroon Ave. , 8th St. , White Rock Ave. , and 1st St. ; also roughly bounded by Gothic Ave. , 6th St. , White Rock Ave. , and 1st St. 38°52′12″N 106°58′39″W / 38.87°N 106.9775°W / 38.87 ; -106.9775 ( Town of Crested Butte )",Crested Butte
