Position,Artist,Song title,Highest position,Points
1,Connie Francis,Carolina Moon,1,350
2,Louis Prima,Buona sera,1,314
3,Elvis Presley,King Creole,3,310
4,Elvis Presley,I Got Stung,2,246
5,Marino Marini,Come prima,2,226
6,Bjørg og Per Gunnar,Så kom våren til Tarina,2,223
7,Domenico Modugno,Volare ( Nel blu dipinto di blu ),2,206
8,Ricky Nelson,Poor Little Fool,6,174
9,Billy Vaughn,Sail Along Silvery Moon,1,133
10,Kalin Twins,When,3,130
11,The Pony-Tails,Born Too Late,6,87
12,Johnny Mathis,A Certain Smile,7,85
13,Dean Martin,Return To Me ( Ritorna a me ),8,81
14,Dean Martin,Volare ( Nel blu dipinto di blu ),3,74
15,Bjørg og Mikkel,På Billy Bryants kafé,9,34
16,Gunnar Engedahl & Erling Stordahl,Liselotte,4,30
17,Mitch Miller,The River Kwai March,8,25
18,Bjørg og Mikkel,Det blå hav,6,15
19,The McGuire Sisters,Volare ( Nel blu dipinto di blu ),7,14
