Church,Dates,"City , State"
"Mount Zion Baptist Church ( Athens , Ohio )",built NRHP-listed,"Athens , Ohio"
Free Will Baptist Church of Auburn,built NRHP-listed,"Auburn Corners , Ohio"
Bedford Baptist Church,built NRHP-listed,"Bedford , Ohio"
Columbia Baptist Cemetery,built NRHP-listed,"Cincinnati , Ohio"
Union Baptist Cemetery,built NRHP-listed,"Cincinnati , Ohio"
"Shiloh Baptist Church ( Cleveland , Ohio )",built NRHP-listed,"Cleveland , Ohio"
Columbia Baptist Church,built NRHP-listed,"Columbia Center , Ohio"
"Shiloh Baptist Church ( Columbus , Ohio )",built NRHP-listed,"Columbus , Ohio"
West Baptist Church,built NRHP-listed,"Lebanon , Ohio"
Park Avenue Baptist Church,built NRHP-listed,"Mansfield , Ohio"
Mechanicsburg Baptist Church,built NRHP-listed,"Mechanicsburg , Ohio"
"Second Baptist Church ( Mechanicsburg , Ohio )",built NRHP-listed,"Mechanicsburg , Ohio"
"Bethel Baptist Church ( Pataskala , Ohio )",built NRHP-listed,"Pataskala , Ohio"
"Second Baptist Church ( Sandusky , Ohio )",built NRHP-listed,"Sandusky , Ohio"
Ashland Avenue Baptist Church,built NRHP-listed,"Toledo , Ohio"
"First Baptist Church ( Vermilion , Ohio )",built NRHP-listed,"Vermilion , Ohio"
