Community,Region,July daily maximum,January daily maximum,Annual precipitation,Plant hardiness zone
Morden,Pembina Valley,26 °C ( 79 °F ),−10 °C ( 14 °F ),541 mm ( 21 in ),3A
Winnipeg,Winnipeg,26 °C ( 79 °F ),−11 °C ( 12 °F ),521 mm ( 21 in ),2B
Pierson,Westman Region,27 °C ( 81 °F ),−9 °C ( 16 °F ),457 mm ( 18 in ),2B
Dauphin,Parkland,25 °C ( 77 °F ),−10 °C ( 14 °F ),482 mm ( 19 in ),2B
Steinbach,Eastman,25 °C ( 77 °F ),−11 °C ( 12 °F ),581 mm ( 23 in ),2B
Portage la Prairie,Central Plains,26 °C ( 79 °F ),−9 °C ( 16 °F ),532 mm ( 21 in ),3A
Brandon,Westman,25 °C ( 77 °F ),−11 °C ( 12 °F ),474 mm ( 19 in ),2B
The Pas,Northern,24 °C ( 75 °F ),−14 °C ( 7 °F ),450 mm ( 18 in ),2B
Thompson,Northern,23 °C ( 73 °F ),−18 °C ( 0 °F ),474 mm ( 19 in ),2B
Churchill,Northern,18 °C ( 64 °F ),−22 °C ( −8 °F ),453 mm ( 18 in ),0A
