Date,Home,Score,Away,Place
24 October 1978,Italy,19-6,Argentina,"Stadio Mario Battaglini , Rovigo"
6 May 1995,Italy,22-12,Ireland,"Stadio Comunale di Monigo , Treviso"
4 June 1995,Argentina,25-31,Italy,"Buffalo City Stadium , East London , South Africa"
4 January 1997,Ireland,29-37,Italy,"Lansdowne Road , Dublin"
22 March 1997,France,32-40,Italy,"Stade Lesdiguières , Grenoble"
20 December 1997,Italy,37-22,Ireland,"Stadio Renato Dall'Ara , Bologna"
24 January 1998,Italy,25-21,Scotland,"Stadio Comunale Monigo , Treviso"
7 November 1998,Italy,23-19,Argentina,"Stadio Comunale Beltrametti , Piacenza"
5 February 2000,Italy,34-20,Scotland,"Stadio Flaminio , Rome"
15 February 2003,Italy,30-22,Wales,"Stadio Flaminio , Rome"
6 March 2004,Italy,20-14,Scotland,"Stadio Flaminio , Rome"
11 June 2005,Argentina,29-30,Italy,"Estadio Olímpico , Córdoba"
24 February 2007,Scotland,17-37,Italy,"Murrayfield , Edinburgh"
10 March 2007,Italy,23-20,Wales,"Stadio Flaminio , Rome"
15 March 2008,Italy,23-20,Scotland,"Stadio Flaminio , Rome"
28 June 2008,Argentina,12-13,Italy,"Estadio Olímpico , Córdoba"
27 February 2010,Italy,16-12,Scotland,"Stadio Flaminio , Rome"
12 March 2011,Italy,22-21,France,"Stadio Flaminio , Rome"
17 March 2012,Italy,13-6,Scotland,"Stadio Olimpico , Rome"
3 February 2013,Italy,23-18,France,"Stadio Olimpico , Rome"
