Year,Title,Role
2007,St Trinian 's,Kelly Jones
2008,Three and Out,Frankie Cassidy
2008,RocknRolla,June
2008,Quantum of Solace,Strawberry Fields
2009,The Boat That Rocked,Desiree
2009,The Disappearance of Alice Creed,Alice Creed
2009,St Trinian 's 2 : The Legend of Fritton 's Gold,Kelly Jones
2010,Clash of the Titans,Io
2010,Prince of Persia : The Sands of Time,Princess Tamina
2010,Tamara Drewe,Tamara Drewe
2010,A Turtle 's Tale : Sammy 's Adventures,Shelly
2012,Byzantium,Clara
2012,Song for Marion,Elizabeth
2013,Hansel & Gretel : Witch Hunters,Gretel
2013,Runner Runner,Rebecca Shafran
2014,The Voices,Fiona
2014,Gemma Bovery,Gemma Bovery
2016,100 Streets,Emily
2016,The Girl with All the Gifts,Helen Justineau
2016,The History of Love,Alma Mereminski
