Lake,Location,Notes
Alph Lake,Scott Coast,Part of Alph River system
Don Juan Pond,McMurdo Dry Valleys,Hypersaline lake
Howchin Lake,Scott Coast,Part of Alph River system
Lake Bonney,McMurdo Dry Valleys,Endorheic lake
Lake Brownworth,McMurdo Dry Valleys,Glacial meltwater lake
Lake Chad,McMurdo Dry Valleys,Endorheic lake
Lake Fryxell,McMurdo Dry Valleys,Endorheic lake
Lake Hoare,McMurdo Dry Valleys,Endorheic lake
Lake Vanda,McMurdo Dry Valleys,Endorheic lake
Lake Vida,McMurdo Dry Valleys,Endorheic lake
Mount Erebus Lava Lake,Ross Island,Crater lake
Pyramid Ponds,Scott Coast,Part of Alph River system
Trough Lake,Scott Coast,Part of Alph River system
Walcott Lake,Scott Coast,Part of Alph River system
