Dates,Tournament,Location,Winner
Mar 10-12,Lakeland Duramed FUTURES Classic,Florida,Meaghan Francella ( 1 )
Mar 17-19,Greater Tampa Duramed FUTURES Classic,Florida,Ashley Prange ( 1 )
Apr 7-9,Louisiana Pelican Classic,Louisiana,Song-Hee Kim ( 1 )
Apr 21-23,The Power of a Dream Golf Classic,Texas,Hye Jung Choi ( 1 )
Apr 28-30,Jalapeno Golf Classic,Texas,Kristy McPherson ( 1 )
May 5-7,IOS Golf Classic,Texas,Song-Hee Kim ( 2 )
May 12-14,Tucson Duramed FUTURES Golf Classic,Arizona,Charlotte Mayorkas ( 1 )
June 2-4,Aurora Health Care Championship,Wisconsin,Song-Hee Kim ( 3 )
June 9-11,Team WLF.org Golf Classic,Illinois,Mollie Fankhauser ( 1 )
June 15-18,Michelob ULTRA Duramed FUTURES Players Championship,Illinois,Salimah Mussani ( 1 )
June 23-25,Lima Memorial Hospital FUTURES Classic,Ohio,Ji Min Jeong ( 1 )
June 30 - July 2,Northwest Indiana FUTURES Golf Classic,Indiana,Ashley Prange ( 2 )
July 14-16,CIGNA Golf Classic,Connecticut,Song-Hee Kim ( 4 )
July 21-23,Alliance Bank Golf Classic,New York,Ha-Na Chae ( 1 )
Aug 4-6,Laconia Savings Bank Golf Classic,New Hampshire,Charlotte Mayorkas ( 2 )
Aug 11-13,Betty Puskar Golf Classic,West Virginia,Kristy McPherson ( 2 )
Aug 18-20,Hunters Oak Golf Classic,Maryland,Ashley Hoagland ( 1 )
Aug 25-27,The Gettysburg Championship,Pennsylvania,Song-Hee Kim ( 5 )
Sep 8-10,ILOVENY Championship,New York,Ji Min Jeong ( 2 )
