Year,Film,Credit
1996,Mars Attacks !,2D roto artist at Warner Bros
1997,Batman & Robin,digital compositor
1998,What Dreams May Come,digital compositor
1999,Baby Geniuses,digital compositor
1999,The Matrix,character animator
2000,Hollow Man,digital compositor
2000,Bless the Child,lead animator
2000,Cast Away,bonsai compositor
2001,Black Hawk Down,CG artist
2002,Minority Report,CG artist at Asylum Visual Effects
2002,Stuart Little 2,cloth dynamics
2002,The Master of Disguise,CG artist
2002,Phone Booth,CG artist at Asylum Visual Effects
2002,The Ring,Animator at Asylum Visual Effects
2002,Catch Me If You Can,CG artist at Asylum Visual Effects
2003,Levity,Animator at Asylum Visual Effects
2003,Down with Love,Animator at Asylum Visual Effects
2003,Charlie 's Angels : Full Throttle,Animator at Asylum Visual Effects
2003,Master and Commander : The Far Side of the World,Lead Animator
2004,National Treasure,Animator at Asylum Visual Effects
