#,Name,Date of birth,Date of debut,Age,Opponent
1,Kim Pan-Geun,1966-03-05,1983-11-01,17 years 242 days,Thailand
2,Kim Bong-Soo,1970-12-04,1988-12-11,18 years 7 days,Iran
3,Ko Jong-Soo,1978-10-30,1997-01-18,18 years 80 days,Norway
4,Son Heung-Min,1992-07-08,2010-12-30,18 years 175 days,Syria
5,Choi Soon-Ho,1962-01-10,1980-09-16,18 years 249 days,Malaysia
6,Lee Chun-Soo,1981-07-09,2000-04-05,18 years 270 days,Laos
7,Park Byung-chul,1954-11-25,1973-09-22,18 years 301 days,Khmer Republic
8,Cha Bum-Kun,1953-05-22,1972-05-10,18 years 353 days,Khmer Republic
9,Gu Ja-Cheol,1989-02-27,2008-02-17,18 years 355 days,China PR
10,Lee Dong-Gook,1978-04-29,1998-05-16,19 years 17 days,Jamaica
11,Choi Tae-Uk,1981-03-13,2000-04-07,19 years 25 days,Mongolia
12,Park Ji-Sung,1981-02-25,2000-04-05,19 years 39 days,Laos
13,Suk Hyun-Jun,1991-06-29,2010-09-07,19 years 70 days,Iran
14,Noh Jung-Yoon,1971-03-28,1990-07-31,19 years 125 days,China PR
15,Kim Jin-Kyu,1985-02-16,2004-07-14,19 years 148 days,Trinidad and Tobago
16,Ji Dong-Won,1991-05-28,2010-12-30,19 years 216 days,Syria
17,Nam Tae-Hee,1991-07-03,2011-02-09,19 years 221 days,Turkey
18,Seo Jung-Won,1970-12-17,1990-07-27,19 years 222 days,Japan
19,Ki Sung-Yueng,1989-01-24,2008-09-05,19 years 225 days,Jordan
20,Park Chu-Young,1985-07-10,2005-06-03,19 years 328 days,Uzbekistan
