Country,Area,Old-growth extent,WWF ecoregion,Old-growth forest type
Azerbaijan,Lankaran lowland and Talysh mountains,,Caspian Hyrcanian mixed forest,temperate broadleaf and mixed forests biome
"Belarus , Poland",Białowieża Forest,"308,580 hectares ( 762,500 acres )",Central European mixed forests,
Bosnia and Herzegovina,Perućica,"1,434 hectares ( 3,540 acres )",Dinaric Mountains mixed forests,
Bulgaria,Ancient and Primeval Beech Forests of Europe in the Central Balkan National Park,"1,098,891 hectares ( 2,715,420 acres )",Rodope montane mixed forests,Temperate broadleaf and mixed forests biome
Bulgaria,"Bayuvi Dupki-Dzhindzhiritsa ( temperate coniferous forest ) , Pirin National Park","2,873 hectares ( 7,100 acres )",Rodope montane mixed forests,Temperate broadleaf and mixed forests biome
Bulgaria,Mantaritza Biosphere Reserve forests,"1,320 hectares ( 3,300 acres )",Rodope montane mixed forests,Temperate broadleaf and mixed forests biome
Bulgaria,"Parangalitsa Reserve forests , Rila National Park","1,509 hectares ( 3,730 acres )",Rodope montane mixed forests,Temperate broadleaf and mixed forests biome
Bulgaria,"Uzunbodzhak Reserve temperate rainforest , Strandzha Nature Park , Strandzha Mountain","2,529.6 hectares ( 6,251 acres )",Euxine-Colchic deciduous forests,Temperate broadleaf and mixed forests biome ( Euxine-Colchic deciduous forests )
Czech Republic,Boubin Primeval Forest,"685.9 hectares ( 1,695 acres )",,
Finland,Pyhä-Häkki National Park,,Scandinavian and Russian taiga,Scots pine and Norway spruce
France,Réserve Biologique Intégrale d'Assan,"1,032 hectares ( 2,550 acres )",Temperate coniferous forest,"Pinus sylvestris , Abies alba , Larix decidua , Juniperus thurifera and Pinus uncinata"
France,Réserve Biologique Intégrale de Chaux,148 hectares ( 370 acres ),Temperate broadleaf and mixed forest,"Abies alba , Picea abies and Fagus sylvatica"
France,Réserve Biologique Intégrale de la Glacière,28 hectares ( 69 acres ),Temperate broadleaf and mixed forest,"Abies alba , Picea abies and Fagus sylvatica"
France,Réserve Biologique Intégrale de la Sainte-Baume,138 hectares ( 340 acres ),Temperate broadleaf and mixed forest,"Fagus sylvatica , Quercus pubescens , Taxus baccata , Ilex aquifolium , Tilia cordata , maple and Quercus ilex"
France,Réserve Biologique Intégrale de la Sylve dArgenson,"2,579 hectares ( 6,370 acres )",Temperate broadleaf and mixed forest,"Fagus sylvatica , Quercus petraea and Quercus robur"
France,Réserve Biologique Intégrale de Saint-Pé-de-Bigorre,"1,010 hectares ( 2,500 acres )",Temperate broadleaf and mixed forest,"Fagus sylvatica , Tilia cordata and Maple"
France,Réserve Biologique Intégrale des Maures,"2,531 hectares ( 6,250 acres )","Mediterranean forests , woodlands , and scrub","Quercus ilex , Quercus suber , Castanea sativa and Pinus pinaster"
France,Réserve Biologique Intégrale du Mont Ventoux,"906 hectares ( 2,240 acres )",Temperate broadleaf and mixed forest,"Pinus uncinata , Pinus nigra , Pinus sylvestris , Fagus sylvatica and Abies alba"
France,Réserve Biologique Intégrale du Défilé de Straiture,124 hectares ( 310 acres ),Temperate broadleaf and mixed forest,"Abies alba , Picea abies and Fagus sylvatica"
France,Réserve Biologique Intégrale d'Oléron - Saint-Trojan,158 hectares ( 390 acres ),Temperate broadleaf and mixed forest,"Quercus ilex , Quercus petraea and Pinus pinaster"
