Medal,Name,Sport,Event
Gold,Jean-Pierre Vidal,Alpine skiing,Men 's slalom
Gold,Carole Montillet,Alpine skiing,Women 's downhill
Gold,Marina Anissina Gwendal Peizerat,Figure skating,Ice dancing
Gold,Isabelle Blanc,Snowboarding,Women 's parallel giant slalom
Silver,Sébastien Amiez,Alpine skiing,Men 's slalom
Silver,Laure Pequegnot,Alpine skiing,Women 's slalom
Silver,Raphaël Poirée,Biathlon,Men 's 12.5 km pursuit
Silver,Karine Ruby,Snowboarding,Women 's parallel giant slalom
Silver,Doriane Vidal,Snowboarding,Women 's halfpipe
Bronze,Vincent Defrasne Gilles Marguet Raphaël Poirée Julien Robert,Biathlon,Men 's 4 × 7.5 km relay
Bronze,Richard Gay,Freestyle skiing,Men 's moguls
