Year,Gold,Silver,Bronze
2006-7,Dean Windsor,Grant Irwin,
2009-10,Daniel Braunsteins,Thomas Palmer,Malcolm Rudolph
2010-11,Ben Grenda,Richard Lang,Thomas Palmer
2011-12,Scott Law,Jay McCarthy,Ben Grenda
2012-13,Brad Linfield,Josh Taylor,Andrew Martin
2013-14,Caleb Ewan,Robert-Jon McCarthy,Alex Wohler
2014-15,Chris Hamilton,David Edwards,Jesse Kerrison
2015-16,Jesse Kerrison,Sam Welsford,Dan Fitter
2016-17,Alexander Porter,Lucas Hamilton,Ayden Toovey
2017-18,Cameron Scott,Dylan Sunderland,Sam Welsford
2018-19,Jarrad Drizners,Kelland O'Brien,Cameron Scott
2020,Kelland O'Brien,Conor Leahy,Matthew Rice
