#,Name in French,Name in Dutch,Opened,Interchange
1,Simonis ( Leopold II ),Simonis ( Leopold II ),1982,Line 6
2,Osseghem,Ossegem,1982,Line 6
3,Beekkant,Beekkant,1981,"Line 1 , Line 5 , Line 6"
4,Gare de l'Ouest,Weststation,1982,"Belgian Rail , Line 1 , Line 5 , Line 6"
5,Delacroix,Delacroix,2006,Line 6
6,Clemenceau,Clemenceau,1993,Line 6
7,Gare du Midi,Zuidstation,1988,"Belgian Rail , Thalys , Eurostar , ICE , Line 2 , Line 4 , Line 6"
8,Porte de Hal,Hallepoort,1988,Line 6
9,Hôtel des Monnaies,Munthof,1988,Line 6
10,Louise,Louiza,1988,Line 6
11,Porte de Namur,Naamsepoort,1988,Line 6
12,Trône,Troon,1988,Line 6
13,Arts-Loi,Kunst-Wet,1988,"Line 1 , Line 5 , Line 6"
14,Madou,Madou,1988,Line 6
15,Botanique,Kruidtuin,1988,Line 6
16,Rogier,Rogier,1988,"Line 3 , Line 4 , Line 6"
17,Yser,IJzer,1988,Line 6
18,Ribaucourt,Ribaucourt,1988,Line 6
19,Simonis ( Elizabeth ),Simonis ( Elizabeth ),1988,Line 6
