Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Jay Feely,K,Michigan,Big Ten
Buffalo Bills,Tim Hasselbeck,QB,Boston College,Big East
Carolina Panthers,Nick Goings,FB,Pittsburgh,Big East
Cincinnati Bengals,Ifeanyi Ohalete,S,USC,Pac-10
Dallas Cowboys,Jason Bell,CB,UCLA,Pac-10
Dallas Cowboys,Javiar Collins,T,Northwestern,Big Ten
Dallas Cowboys,Demetric Evans,DE,Georgia,SEC
Dallas Cowboys,Lynn Scott,S,Northwestern Oklahoma State,CSFL
Detroit Lions,Chidi Iwuoma,CB,California,Pac-10
Green Bay Packers,Kevin Kaesviharn,S,Augustana College ( SD ),NCIAC
Indianapolis Colts,Nick Harper,CB,Fort Valley State,SIAC
Indianapolis Colts,Dominic Rhodes,RB,Midwestern State,Lone Star
Kansas City Chiefs,Ian Allen,T,Purdue,Big Ten
Kansas City Chiefs,Lawrence Tynes,K,Troy State,Southland
Miami Dolphins,Nick Sorensen,S,Virginia Tech,Big East
Minnesota Vikings,Brian Russell,S,San Diego State,MWC
Minnesota Vikings,Mike Solwold,LS,Wisconsin,Big Ten
New England Patriots,Stephen Neal,G,Cal State-Bakersfield,N/A
New Orleans Saints,Boo Williams,TE,Arkansas,SEC
New York Giants,Rich Seubert,G,Western Illinois,Gateway
