Title,Year,Genre,Notes
King of Hockey,1936,Drama,A teammate 's punch causes hockey star Gabby Dugan to go blind
Idol of the Crowds,1937,Drama,John Wayne as a hockey player who wants to buy a chicken farm
The Game That Kills,1937,Drama,"After a player dies during a game , coach 's daughter Rita Hayworth digs for the truth"
The Duke of West Point,1938,Drama,A misunderstood London-raised athlete is shunned by other cadets before game vs. Canadians
Olympic Honeymoon,1940,Comedy,A honeymooner is mistaken for a hockey player and invited to play for England
Gay Blades,1946,Comedy,"A talent scout discovers and distracts Andy Buell , the star player of the Duluth Rustlers"
White Lightning,1953,Drama,Criminals offer bribes to the Red Devils ' hockey stars to deliberately lose games
Love Story,1970,Romance,"A Harvard hockey player ( Ryan O'Neal ) loves , then loses a doomed young woman"
Paperback Hero,1973,Drama,A big-time hockey star ( Keir Dullea ) ends up in a tiny Saskatchewan town
Slap Shot,1977,Comedy,"Starring Paul Newman as the player-coach of a rowdy , raunchy minor-league team"
The Deadliest Season,1977,Drama,TV film with Michael Moriarty and Meryl Streep about hockey 's violence
The Boy Who Drank Too Much,1980,Drama,"TV film with Scott Baio as a high school hockey player , well liked and respected despite being an alcoholic"
Miracle on Ice,1981,Drama,A television film on the 1980 Miracle on Ice at the Lake Placid Olympics
Youngblood,1986,Drama,Rob Lowe as an American teen assigned to a Canada junior league
Touch and Go,1986,Romance,A National Hockey League player ( Michael Keaton ) falls for a young single mom
The Mighty Ducks,1992,Comedy,Disney family yarn about a youth team coached by Emilio Estevez
D2 : The Mighty Ducks,1994,Comedy,"Sequel , with Duck players competing in Junior Goodwill Games"
Net Worth,1995,Drama,The story of the early years of the NHL and the off ice battle between the owners and players
D3 : The Mighty Ducks,1996,Comedy,"Ducks enroll in an elite academy , receiving a rude welcome . Second sequel"
Les Boys,1997,Comedy,Quebec story of boys from a low-level amateur team
