Name,Location,Years as tallest,Height ft ( m ),Floors
Pueblo Bonito,Northern New Mexico { { small| 36°3′38″N 107°57′42″W / 36.06056°N 107.96167°W / 36.06056 ; -107.96167 } ( Abandoned 1126 ),10th century AD - 1754,97 ft ( 30 m ),6
"Christ Church , Philadelphia",Philadelphia 39°57′2.60″N 75°8′37.90″W / 39.9507222°N 75.1438611°W / 39.9507222 ; -75.1438611,1754-1810,197 ft ( 60 m ),1
Park Street Church,Boston 42°21′24.42″N 71°3′43.18″W / 42.3567833°N 71.0619944°W / 42.3567833 ; -71.0619944,1810-1828,217 ft ( 66 m ),1
Phoenix Shot Tower,Baltimore 39°17′26.42″N 76°36′20.18″W / 39.2906722°N 76.6056056°W / 39.2906722 ; -76.6056056,1828-1846,234 ft ( 71 m ),1
Trinity Church,New York City 40°42′28.58″N 74°0′43.88″W / 40.7079389°N 74.0121889°W / 40.7079389 ; -74.0121889,1846-1869,279 ft ( 85 m ),1
Saint Michael 's Church,Chicago 41°54′44.79″N 87°38′26.7″W / 41.9124417°N 87.640750°W / 41.9124417 ; -87.640750,1869-1885,290 ft ( 88 m ),1
Chicago Board of Trade Building,Chicago ( demolished 1929 ),1885-1890,322 ft ( 98 m ),10
New York World Building,New York City ( demolished 1955 ),1890-1894,348 ft ( 106 m ),20
Philadelphia City Hall †,Philadelphia 39°57′8.85″N 75°9′48.83″W / 39.9524583°N 75.1635639°W / 39.9524583 ; -75.1635639,1894-1908,548 ft ( 167 m ),7
Singer Building †,New York City ( demolished 1968 ),1908-1909,612 ft ( 187 m ),47
Metropolitan Life Insurance Company Tower †,New York City 40°44′28.54″N 73°59′15.03″W / 40.7412611°N 73.9875083°W / 40.7412611 ; -73.9875083,1909-1913,700 ft ( 213 m ),50
Woolworth Building †,New York City 40°42′44.29″N 74°0′28.96″W / 40.7123028°N 74.0080444°W / 40.7123028 ; -74.0080444,1913-1930,792 ft ( 241 m ),57
Bank of Manhattan Trust Building †,New York City 40°42′25.05″N 74°0′34.73″W / 40.7069583°N 74.0096472°W / 40.7069583 ; -74.0096472,1930,927 ft ( 283 m ),70
Chrysler Building †,New York City 40°45′5.44″N 73°58′31.84″W / 40.7515111°N 73.9755111°W / 40.7515111 ; -73.9755111,1930-1931,"1,046 ft ( 319 m )",77
Empire State Building †,New York City 40°44′54.36″N 73°59′8.36″W / 40.7484333°N 73.9856556°W / 40.7484333 ; -73.9856556,1931-1972,"1,250 ft ( 381 m )",102
One World Trade Center †,New York City ( destroyed 2001 ),1972-1974,"1,368 ft ( 417 m )",110
Willis Tower † ( formerly Sears Tower ),Chicago 41°52′43.82″N 87°38′9.73″W / 41.8788389°N 87.6360361°W / 41.8788389 ; -87.6360361,1974-2013,"1,451 ft ( 442 m )",108
One World Trade Center,New York City,2013-present,"1,776 ft ( 541 m )",104
