Title,Director,Cast,Country
Accident Man,Jesse V. Johnson,"Scott Adkins , Ashley Greene , Ray Stevenson , Michael Jai White , Ray Park , Amy Johnston",United Kingdom
Ant-Man and the Wasp,Peyton Reed,"Paul Rudd , Evangeline Lilly , Michael Douglas",United States
Aquaman,James Wan,"Jason Momoa , Amber Heard , Patrick Wilson , Yahya Abdul-Mateen II",United States
Avengers : Infinity War,"Antony Russo , Joe Russo","Robert Downey Jr. , Scarlett Johansson , Chris Pratt , Chris Evans , Chris Hemmsworth , Josh Brolin , Benedict Cumberbatch , Tom Holland",United States
Black Panther,Ryan Coogler,"Chadwick Boseman , Lupita Nyong ' o , Michael B. Jordan",United States
Bumblebee,Travis Knight,"Hailee Steinfeld , John Cena , John Ortiz",United States
BuyBust,Erik Matti,"Anne Curtis , Brandon Vera , Victor Neri , Arjo Atayde , Nonie Buencamino , Joross Gamboa",Philippines
Deadpool 2,David Leitch,"Ryan Reynolds , Josh Brolin , Morena Baccarin",United States
Death Race : Beyond Anarchy,Don Michael Paul,"Zach McGowan , Danny Glover , Christine Marzano , Frederick Koehler , Danny Trejo",United States
Death Wish,Eli Roth,"Bruce Willis , Vincent D'Onofrio , Elisabeth Shue",United States
Escape Plan 2 : Hades,Steven C. Miller,"Sylvester Stallone , Dave Bautista , Huang Xiaoming , Jaime King , 50 Cent",China United States United Kingdom
Final Score,Scott Mann,"Dave Bautista , Pierce Brosnan , Ray Stevenson , Julian Cheung",United Kingdom United States
Golden Job,Chin Ka-lok,"Ekin Cheng , Jordan Chan , Michael Tse",Hong Kong
Hotel Artemis,Drew Pearce,"Jodie Foster , Sterling K. Brown , Sofia Boutella , Charlie Day",United States
Hunter Killer,Donovan Marsh,"Gerard Butler , Gary Oldman , Common , Linda Cardellini , Toby Stephens",United States
Kin,Jonathen and Josh Baker,"Myles Truitt , Dennis Quaid , James Franco",United States
Mandy,Pianos Cosmatos,"Nicolas Cage , Andrea Riseborough , Linus Roache",Canada United States
Master Z : The Ip Man Legacy,Yuen Woo-ping,"Zhang Jin , Dave Bautista , Liu Yan , Xing Yu , Michelle Yeoh , Tony Jaa",Hong Kong China
Maze Runner : The Death Cure,Wes Ball,"Dylan O'Brien , Thomas Brodie-Sangster , Katherine McNamara",United States
Mile 22,Peter Berg,"Mark Wahlberg , John Malkovich , Lauren Cohan , Iko Uwais",United States
