Entered office as Head of State or Government,Began time as senior G8 leader,Ended time as senior G8 leader,Term Length,Person,Office
16 October 1964,15 November 1975,5 April 1976,142 days,Harold Wilson,Prime Minister of the United Kingdom
16 May 1974,5 April 1976,27 June 1976,83 days,Helmut Schmidt,Chancellor of West Germany
20 April 1968,27 June 1976,4 June 1979,"2 years , 342 days",Pierre Trudeau,Prime Minister of Canada
16 May 1974,4 June 1979,3 March 1980,273 days,Helmut Schmidt,Chancellor of West Germany
20 April 1968,3 March 1980,30 June 1984,"4 years , 119 days",Pierre Trudeau,Prime Minister of Canada
4 May 1979,30 June 1984,28 November 1990,"6 years , 151 days",Margaret Thatcher,Prime Minister of the United Kingdom
10 May 1981,28 November 1990,17 May 1995,"4 years , 170 days",François Mitterrand,President of France
1 October 1982,17 May 1995,27 October 1998,"3 years , 163 days",Helmut Kohl,Chancellor of Germany
10 July 1991,27 October 1998,31 December 1999,"1 year , 65 days",Boris Yeltsin,President of Russia
20 January 1993,31 December 1999,20 January 2001,"1 year , 20 days",Bill Clinton,President of the United States
4 November 1993,20 January 2001,12 December 2003,"2 years , 326 days",Jean Chrétien,Prime Minister of Canada
17 May 1995,12 December 2003,16 May 2007,"3 years , 155 days",Jacques Chirac,President of France
2 May 1997,16 May 2007,27 June 2007,42 days,Tony Blair,Prime Minister of the United Kingdom
7 May 2000,27 June 2007,7 May 2008,315 days,Vladimir Putin,President of Russia
20 January 2001,7 May 2008,20 January 2009,258 days,George W. Bush,President of the United States
10 May 1994,20 January 2009,16 November 2011,"2 years , 300 days",Silvio Berlusconi,Prime Minister of Italy
22 November 2005,16 November 2011,7 May 2012,173 days,Angela Merkel,Chancellor of Germany
7 May 2000,7 May 2012,24 March 2014,"1 year , 321 days",Vladimir Putin,President of Russia
22 November 2005,24 March 2014,Incumbent,"5 years , 321 days",Angela Merkel,Chancellor of Germany
