Team,City,Stadium,Capacity
Alianza Atlético,Sullana,Campeones del 36,"8,000"
Alianza Lima,Lima,Alejandro Villanueva,"35,000"
Carlos A. Mannucci,Trujillo,Mansiche,"24,000"
Cienciano,Cusco,Garcilaso,"42,056"
Defensor Lima,Lima,Nacional,"45,750"
Deportivo Municipal,Lima,Nacional,"45,750"
Deportivo Sipesa,Chimbote,Manuel Rivera Sanchez,"25,000"
León de Huánuco,Huánuco,Heraclio Tapia,"15,000"
Melgar,Arequipa,Mariano Melgar,"20,000"
San Agustín,Lima,Nacional,"45,750"
Sport Boys,Callao,Miguel Grau,"18,000"
Sporting Cristal,Lima,San Martín de Porres,"15,000"
Unión Huaral,Huaral,Julio Lores Colan,"10,000"
Unión Minas,Cerro de Pasco,Daniel Alcides Carrión,"8,000"
UTC,Cajamarca,Héroes de San Ramón,"18,000"
Universitario,Lima,Nacional,"45,750"
