Match,Weight class,Winner weight at weigh-in,Loser weight at weigh-in,Method,Round,Time
1,Lightweight,Vusal Bairamov 153.75 pounds ( 69.74 kg ),Joakhim Apie 155.25 pounds ( 70.42 kg ),TKO ( knees and punches ),1,2:29
2,Heavyweight,Denis Goltsov 213.25 pounds ( 96.73 kg ),Marat Aliaskhabov 208.75 pounds ( 94.69 kg ),Submission ( straight armbar ),1,4:56
3,Light Heavyweight,Mikhail Zayats 200.5 pounds ( 90.9 kg ),Matias Baric 198.5 pounds ( 90.0 kg ),Submission ( rear naked choke ),3,3:12
4,Lightweight,Daniel Weichel 154.0 pounds ( 69.9 kg ),Yuri Ivlev 154.0 pounds ( 69.9 kg ),TKO ( doctor stoppage ),3,2:34
5,Welterweight,Rashid Magomedov 167.5 pounds ( 76.0 kg ),Igor Araujo 170.25 pounds ( 77.22 kg ),Unanimous decision,3,5:00
6,Welterweight,Che Mills 172.0 pounds ( 78.0 kg ),Magomed Shikhshabekov 168.0 pounds ( 76.2 kg ),Unanimous decision,4,5:00
7,Lightweight,Alexander Sarnavskiy 153.25 pounds ( 69.51 kg ),Victor Kuku 155.5 pounds ( 70.5 kg ),KO ( spinning back fist and punches ),1,0:14
8,Lightweight,Artiom Damkovsky 153.75 pounds ( 69.74 kg ),Mairbek Taisumov 153.25 pounds ( 69.51 kg ),TKO ( retirement ),3,2:52
9,Heavyweight,Guram Gugenishvili 249.5 pounds ( 113.2 kg ),Kenny Garner 249.5 pounds ( 113.2 kg ),Technical submission ( guillotine choke ),2,0:52
10,Middleweight,Alexei Belyaev 184.0 pounds ( 83.5 kg ),Alexei Nazarov 182.75 pounds ( 82.89 kg ),Submission ( guillotine choke ),2,0:50
11,Light Heavyweight,Dmitry Samoilov 198.75 pounds ( 90.15 kg ),Gadzhimurad Omarov 205.0 pounds ( 93.0 kg ),TKO ( doctor stoppage ),3,0:28
