Pos,No,Driver,Constructor,Lap,Gap
1,1,Michael Schumacher,Ferrari,1:13.780,-
2,5,Ralf Schumacher,Williams - BMW,1:14.090,+0.310
3,3,Mika Häkkinen,McLaren - Mercedes,1:14.122,+0.342
4,6,Juan Pablo Montoya,Williams - BMW,1:14.165,+0.385
5,4,David Coulthard,McLaren - Mercedes,1:14.178,+0.398
6,2,Rubens Barrichello,Ferrari,1:14.191,+0.411
7,12,Jarno Trulli,Jordan - Honda,1:14.630,+0.850
8,11,Heinz-Harald Frentzen,Jordan - Honda,1:14.633,+0.853
9,16,Nick Heidfeld,Sauber - Petronas,1:14.810,+1.030
10,17,Kimi Räikkönen,Sauber - Petronas,1:14.924,+1.144
11,9,Olivier Panis,BAR - Honda,1:15.046,+1.266
12,10,Jacques Villeneuve,BAR - Honda,1:15.180,+1.400
13,18,Eddie Irvine,Jaguar - Cosworth,1:15.192,+1.412
14,19,Luciano Burti,Jaguar - Cosworth,1:15.371,+1.591
15,22,Jean Alesi,Prost - Acer,1:15.437,+1.657
16,15,Enrique Bernoldi,Arrows - Asiatech,1:15.657,+1.877
17,14,Jos Verstappen,Arrows - Asiatech,1:15.704,+1.924
18,7,Giancarlo Fisichella,Benetton - Renault,1:16.175,+2.395
19,21,Fernando Alonso,Minardi - European,1:16.184,+2.404
20,8,Jenson Button,Benetton - Renault,1:16.229,+2.449
