Team,Coach,Captain
Arema Indonesia,Abdul Rahman Gurning,Legimin Raharjo
Bontang FC,Fachry Husaini,Ridwansyah
Persebaya 1927,Fabio Oliveira,Mat Halil
Persema Malang,Rudi Hariantoko,Agung Dwi Jaksono
Perseman Manokwari,Arcan Iurie,Marcio Souza
Persepar Palangkaraya,Edy Simon Badawi,Bima Sakti
Persiba Bantul,Sajuri Syahid,Ezequiel González
Persibo Bojonegoro,Gusnul Yakin,
Persija ( Jakarta FC ),Eduard Tjong,Cornelius Geddy
Persijap Jepara,Raja Isa,Evaldo Silva
Persiraja Banda Aceh,Maman Suryaman,Erik Saputra
Pro Duta FC,Dejan Antonić,Suyatno
PSIR Rembang,Kibnu Harto,Christian Lenglolo
PSLS Lhokseumawe,Nasrul Koto,Hendra Syahputra
PSM Makassar,Imran Amirullah ( caretaker ),Syamsul Chaeruddin
Semen Padang FC,Jafri Sastra,Elie Aiboy
