Medal,Name,Sport,Event,Date
Gold,Ko Willems,Cycling,Men 's 50 km,July 27
Gold,Adolph van der Voort van Zijp,Equestrian,Individual eventing,July 26
Gold,"Antonius Colenbrander , Gerard de Kruijff , Charles Pahud de Mortanges , Adolph van der Voort van Zijp",Equestrian,Team eventing,July 26
Gold,"Teun Beijnen , Willy Rösingh",Rowing,Men 's coxless pair,July 17
Silver,Jaap Meijer,Cycling,Men 's sprint,July 27
Bronze,"Jan de Vries , Jaap Boot , Harry Broos , Rinus van den Berge",Athletics,Men 's 4 × 100 m relay,July 13
Bronze,"Gerard Bosch van Drakestein , Maurice Peeters",Cycling,Men 's tandem,July 27
Bronze,"Adrianus de Jong , Jetze Doorman , Hendrik Scherpenhuijzen , Jan van der Wiel , Maarten van Dulm , Henri Wijnoldy-Daniëls",Fencing,Men 's team sabre,July 15
Bronze,"Johan Carp , Anthonij Guépin , Jan Vreede",Sailing,6 m Class,July 26
Bronze,"Kea Bouman , Hendrik Timmer",Tennis,Mixed doubles,July 21
