Date from,Position,Name,To
8 June 2019,CB,Leandro Paradiso,Released
11 June 2019,CB,Omar Alderete,Basel
3 July 2019,MF,Manuel Falón,Sacachispas
3 July 2019,DF,Leonel Müller,Defensores de Belgrano
3 July 2019,RB,Christian Chimino,Patronato
3 July 2019,CB,Federico Mancinelli,Patronato
3 July 2019,CM,Israel Damonte,Banfield
3 July 2019,CF,Tomás Molina,Brown
22 July 2019,RB,Pablo Álvarez,Arsenal de Sarandí
1 August 2019,CF,Lucas Gamba,Rosario Central
12 August 2019,CB,Juan Ignacio Sills,Instituto
14 August 2019,RM,Alex Sosa,Brown
15 August 2019,RM,Patricio Toranzo,Almagro
