Rank,Name,Nation,Total points,SP,FS
1,Denis Leushin,Russia,185.64,2,1
2,Michal Březina,Czech Republic,183.64,1,2
3,Anton Kovalevsky,Ukraine,168.87,4,3
4,Javier Raya Buenache,Spain,166.33,3,4
5,Abzal Rakimgaliyev,Kazakhstan,160.86,5,5
6,Maciej Cieplucha,Poland,154.32,7,6
7,Maxim Shipov,Israel,143.26,6,7
8,Sei Kawahara,Japan,130.04,8,8
9,Tigran Vardanjan,Hungary,128.16,9,9
10,Boris Martinec,Croatia,119.67,11,10
11,Robert McNamara,Australia,107.14,12,11
12,Luis Hernández,Mexico,105.71,10,12
13,Ivor Mikolcevic,Croatia,90.23,13,13
WD,Zoltan Kelemen,Romania,,,
WD,Vitaliy Sazonets,Ukraine,,,
