Pos,No,Driver,Constructor,Time,Gap
1,18,Juan Manuel Fangio,Alfa Romeo,1:58.6,-
2,16,Alberto Ascari,Ferrari,1:58.8,+ 0.2
3,10,Nino Farina,Alfa Romeo,2:00.2,+ 1.6
4,46,Consalvo Sanesi,Alfa Romeo,2:00.4,+ 1.8
5,36,Luigi Fagioli,Alfa Romeo,2:04.0,+ 5.4
6,48,Dorino Serafini,Ferrari,2:05.6,+ 7.0
7,60,Piero Taruffi,Alfa Romeo,2:05.8,+ 7.2
8,12,Raymond Sommer,Talbot-Lago - Talbot,2:08.6,+ 10.0
9,4,Franco Rol,Maserati,2:10.0,+ 11.4
10,44,Robert Manzon,Simca - Gordini,2:12.4,+ 13.8
11,40,Guy Mairesse,Talbot-Lago - Talbot,2:13.2,+ 14.6
12,42,Maurice Trintignant,Simca - Gordini,2:13.4,+ 14.8
13,58,Louis Rosier,Talbot-Lago - Talbot,2:13.4,+ 14.8
14,64,Henri Louveau,Talbot-Lago - Talbot,2:13.8,+ 15.2
15,30,Prince Bira,Maserati,2:14.0,+ 15.4
16,24,Philippe Étancelin,Talbot-Lago - Talbot,2:14.4,+ 15.8
17,38,Toulo de Graffenried,Maserati,2:14.4,+ 15.8
18,8,Peter Whitehead,Ferrari,2:16.2,+ 17.6
19,6,Louis Chiron,Maserati,2:17.2,+ 18.6
20,56,Pierre Levegh,Talbot-Lago - Talbot,2:17.2,+ 18.6
