Country/Territory,Debut,Years competed,National title
Afghanistan,2003,2003 2005,Miss Earth Afghanistan
Albania,2002,2002 2004 2006-2009 2013,Miss Earth Albania
Angola,2017,2017,Miss Angola
Antigua and Barbuda,2003,2003,Miss Earth Antigua & Barbuda
Argentina,2001,2001-2009 2012 2015-present,Miss Earth Argentina
Armenia,2015,2015 2018-present,Miss Armenia
Aruba,2011,2011 2015,Miss Aruba
Australia,2001,2001-present,Miss Earth Australia
Austria,2011,2011-present,Miss Earth Austria
Bahamas,2005,2005-2013 2015-2018,Miss Earth Bahamas
Barbados,2002,2002,Miss Earth Barbados
Belarus,2017,2017-present,Miss Belarus
Belgium,2002,2002-present,Miss Earth Belgium
Belize,2007,2007 2011-2013 2015-2018,Miss Earth Belize
Bhutan,2008,2008,Miss Bhutan
Bolivia,2001,"2001-2008 , 2010-present",Miss Tierra Bolivia
Bonaire,2013,2013,Miss Bonaire
Bosnia & Herzegovina,2002,2002-2008 2010-present,Miss Earth BiH
Botswana,2006,2006-2008 2010-2012 2014 2019-present,Miss Earth Botswana
Brazil,2001,2001 2003-present,Miss Terra Brasil
