Team,Domestic tournament,Position,Appearance,Qualified
Brisbane Heat,2012-13 Big Bash League,Winners,1st,15 January 2013
Perth Scorchers,2012-13 Big Bash League,Runners-up,2nd,16 January 2013
Trinidad and Tobago,2012-13 Caribbean Twenty20,Winners,3rd,21 January 2013
Highveld Lions,2012-13 Ram Slam T20 Challenge,Winners,3rd,28 March 2013
Titans,2012-13 Ram Slam T20 Challenge,Runners-up,2nd,3 April 2013
Chennai Super Kings,2013 Indian Premier League,Runners-up,4th,17 May 2013
Mumbai Indians,2013 Indian Premier League,Winners,4th,17 May 2013
Rajasthan Royals,2013 Indian Premier League,Third place,1st,22 May 2013
Otago Volts,Qualifying stage,Winners,2nd,18 September 2013
Sunrisers Hyderabad,Qualifying stage,Runners-up,1st,18 September 2013
