Team,Coach,Captain,Kit manufacturer,Shirt sponsor
Arema Indonesia,Rahmad Darmawan,Greg Nwokolo,Ultras,Anker Sport
Barito Putera,Salahudin,Mekan Nasyrow,SPECS,Hasnur Group
Gresik United,Widodo Putro,Aldo Barreto,Joma,"Gresik Migas , Phonska"
Mitra Kukar,Stefan Hansson,Hamka Hamzah,,"Petrona , Bankaltim"
Pelita Bandung Raya,Darko Janacković,Mijo Dadić,Joma,
Persela Lamongan,Alfredo Vera,Gustavo Lopez,Diadora,So Nice
Persepam Madura United,Daniel Roekito,Zaenal Arief,Joma,Bank BRI
Persib Bandung,Djajang Nurdjaman,Atep,League,One Heart
Persiba Balikpapan,Herry Kiswanto,Patrice Nzekou,SPECS,"Bankaltim , Artha Reka Satria"
Persidafon Dafonsoro,Agus Yuwono,Eduard Ivakdalam,,Bank Papua
Persija Jakarta,Benny Dollo,Fabiano Beltrame,League,Kuku Bima
Persipura Jayapura,Jacksen F. Tiago,Boaz Solossa,SPECS,Freeport Indonesia
Persiram Raja Ampat,Gomes de Olivera,Kubay Quaiyan,,"Go Raja Ampat , Bank Papua"
Persisam Putra,Sartono Anwar,Muhammad Roby,Bold,Bankaltim
Persita Tangerang,Vacant,Luis Durán,Mitre,Samudera Chandra Persada Indonesia
Persiwa Wamena,Vacant,O.K . John,Ultras,Bank Papua
PSPS Pekanbaru,Vacant,M. Isnaini,Joma,
Sriwijaya,Kas Hartadi,Ponaryo Astaman,Joma,Bank Sumsel-Babel
