No,Football Club,Continent,Associated Football Club,Seasons,Racing Drivers
2,Sporting CP,Europe,Sporting Clube de Portugal,2009 2010,"Pedro Petiz Borja García , Andy Soucek , Máximo Cortés , Adrián Vallés"
3,A.C. Milan,Europe,A.C. Milan,2008 2009 2010,Robert Doornbos Giorgio Pantano Yelmer Buurman
4 10 ( in 2011 ),Galatasaray S.K,Europe,Galatasaray S.K,2008 2009 2010 2011,"Alessandro Pier Guidi Duncan Tappy , Scott Mansell , Ho-Pin Tung Tristan Gommendy , Andy Soucek , Giacomo Ricci , Chris van der Drift Andy Soucek"
4,AC Sparta Prague,Europe,AC Sparta Prague,2011,Filip Salaquarda
5 2 ( in 2011 ),PSV Eindhoven,Europe,PSV Eindhoven,2008 2009 2010 2011,"Yelmer Buurman Dominick Muermans , Carlo van Dam Narain Karthikeyan , Hywel Lloyd , Adderly Fong , Earl Bamber , Esteban Guerrieri Yelmer Buurman"
5,Team Luxembourg,Europe,none,2011,Frédéric Vervisch
6,Al Ain,Asia,Al Ain Club,2008 2009,"Andreas Zuber , Bertrand Baguette , Paul Meijer , Dominick Muermans Miguel Molina , Esteban Guerrieri"
6,Team New Zealand,Oceania,none,2011,Earl Bamber
7,CR Flamengo,S America,Clube de Regatas do Flamengo,2008 2009 2010,"Tuka Rocha Enrique Bernoldi , Jonathan Kennard Duncan Tappy , Franck Perera , Andy Soucek"
7,Team Japan,Asia,none,2011,Duncan Tappy
8 1 ( in 2011 ),R.S.C . Anderlecht,Europe,R.S.C . Anderlecht,2008 2009 2010 2011,Craig Dolby Yelmer Buurman Davide Rigon Neel Jani
8,Team Netherlands,Europe,none,2011,Robert Doornbos
9,Olympiacos CFP,Europe,Olympiacos F.C,2008 2009 2010,"Kasper Andersen , Stamatis Katsimis Davide Rigon , Esteban Guerrieri Chris van der Drift , Ben Hanley , Neel Jani"
10,FC Basel 1893,Europe,FC Basel,2008 2009 2010,Max Wissel Max Wissel Max Wissel
11,Borussia Dortmund,Europe,Borussia Dortmund,2008,"Nelson Philippe , Paul Meijer , Enrico Toccacelo , James Walker"
12 24 ( in 2010 ),Beijing Guoan,Asia,Beijing Guoan F.C,2008 2010,Davide Rigon John Martin
14,SC Corinthians,S America,Sport Club Corinthians Paulista,2008 2009 2010,"Andy Soucek , Antônio Pizzonia Antônio Pizzonia Robert Doornbos"
14,Team Brazil,S America,none,2011,Antônio Pizzonia
15 9 ( in 2011 ),Atlético Madrid,Europe,Atlético Madrid,2008 2009 2010 2011,"Andy Soucek Ho-Pin Tung , María de Villota John Martin , María de Villota , Bruno Méndez , Paul Meijer María de Villota"
16,F.C . Porto,Europe,F.C . Porto,2008 2009 2010,"Tristan Gommendy Tristan Gommendy , Álvaro Parente Álvaro Parente , Earl Bamber"
