Medal,Name,Sport,Event
Gold,Stevan Zorić,Athletics,High jump
Gold,Water polo team Dragan Jovanović Petar Trbojević Aleksandar Nikolić Risto Maljković Dejan Savić Danilo Ikodinović Željko Vičević Veljko Uskoković Aleksandar Ćirić Aleksandar Šapić Vladimir Vujasinović Nenad Vukanić Nikola Kuljača,Water polo,Men 's tournament
Gold,Nemanja Mirosavljev,Shooting,50 metre rifle three positions
Gold,Jasna Šekarić,Shooting,25m Pistol
Gold,Nandor Sabo,Wrestling,Greco-Roman 69kg
Silver,Stevan Pletikosić,Shooting,50 m Rifle prone
Silver,Marijana Frič,Shooting,50 metre rifle three positions
Silver,"Slobodan Grujić , Aleksandar Karakašević",Table tennis,Men 's doubles
Silver,Leposava Marković,Judo,48kg
Bronze,Olivera Jevtić,Athletics,10.000m
Bronze,Veselin Mićović,Karate,
Bronze,Roksanda Lazarević,Karate,65 kg
Bronze,Basketball team,Basketball,Men 's tournament
Bronze,Vladan Marković,Swimming,200m Butterfly
Bronze,Vladan Marković,Swimming,100m Butterfly
Bronze,Aleksandar Jovančević,Wrestling,Greco-Roman 85kg
Bronze,Slobodan Grujić,Table tennis,Men 's singles
Bronze,"Fatima Isanović , Marta Poljak",Table tennis,Women 's doubles
Bronze,Jasna Šekarić,Shooting,10m Air Pistol
Bronze,Dano Pantić,Judo,95kg
