Rank,Employer,Number of Ohio employees,Headquarters location
1,Cleveland Clinic Health System,"49,800",Cleveland
2,Kroger,"45,150",Cincinnati
3,The Ohio State University,"33,300",Columbus
4,Mercy Health,"32,200",Cincinnati
5,Wright Patterson Air Force Base,"27,600",Dayton
6,University Hospitals Health System,"26,000",Cleveland
7,OhioHealth,"21,100",Columbus
8,Cincinnati Children 's Hospital Medical Center,"15,400",Cincinnati
9,Nationwide Mutual Insurance Company,"14,750",Columbus
10,ProMedica Health System,"14,450",Toledo
