Opponent,S,Occurrences,GP,Rec,%
Edmonton Oilers,7,"1982 , 1985 , 1987 , 1989 , 1990 , 1991 , 1992",36,2-5,.286
Calgary Flames,6,"1976 , 1977 , 1988 , 1989 , 1990 , 1993",26,4-2,.667
Vancouver Canucks,5,"1982 , 1991 , 1993 , 2010 , 2012",28,3-2,.600
St. Louis Blues,4,"1969 , 1998 , 2012 , 2013",18,2-2,.500
San Jose Sharks,4,"2011 , 2013 , 2014 , 2016",22,2-2,.500
Chicago Blackhawks,3,"1974 , 2013 , 2014",17,1-2,.333
New York Rangers,3,"1979 , 1981 , 2014",11,1-2,.333
Toronto Maple Leafs,3,"1975 , 1978 , 1993",12,1-2,.333
Detroit Red Wings,2,"2000 , 2001",10,1-1,.500
Boston Bruins,2,"1976 , 1977",13,0-2,.000
Colorado Avalanche,2,"2001 , 2002",14,0-2,.000
Anaheim Ducks,1,2014,7,1-0,1.000
Arizona Coyotes,1,2012,5,1-0,1.000
California Golden Seals,1,1969,7,1-0,1.000
New Jersey Devils,1,2012,6,1-0,1.000
Dallas Stars,1,1968,7,0-1,.000
Montreal Canadiens,1,1993,5,0-1,.000
New York Islanders,1,1980,4,0-1,.000
Vegas Golden Knights,1,2018,4,0-1,.000
Totals,49,,255,21-28,.429
