Team,Head Coach,Captain,Kit manufacturer,Shirt sponsor
ATM,B. Sathianathan,Hairuddin Omar,Lotto,Ecobumi
Johor DT,Bojan Hodak,Mohd Aidil Zafuan Abdul Radzak,Nike,Country Garden
Kelantan,George Boateng,Badhri Radzi,Warriors,Hotlink
LionsXII,Fandi Ahmad,Isa Halim,Nike,StarHub
Pahang,Zainal Abidin Hassan,Mohd Razman Roslan,Puma,Aras Kuasa
Perak,Abu Bakar Fadzim,Mohammad Hardi Jaafar,Joma,Lembaga Air Perak
PKNS,Wan Jamak,Helmi Remeli,Lotto,PKNS
Sarawak,Robert Alberts,Joseph Kalang Tie,Starsports,Sarawak Energy
Selangor,Mehmet Durakovic,Bunyamin Umar,Kappa,Selangor
Sime Darby,Ismail Zakaria,Juzaili Samion,Kappa,Sime Darby
T-Team,Mohd Azraai Khor Abdullah,Mohd Marzuki Yusof,Line 7,EPIC
Terengganu,Abdul Rahman Ibrahim,Ismail Faruqi Asha'ri,Umbro,Desa Murni Batik
