Date,Ship,Nationality,Tonnage,Fate
9 September 1941,Empire Springbuck,United Kingdom,"5,591",Sunk
10 September 1941,Sally Mærsk,United Kingdom,"3,252",Sunk
13 November 1941,HMS Ark Royal,Royal Navy,"22,600",Sunk
16 April 1942,Bab el Farag *,Egypt,105,Sunk
16 April 1942,Caspia,United Kingdom,"6,018",Sunk
16 April 1942,Fatouhel el Rahman *,Egypt,97,Sunk
16 April 1942,FFL Vikings,Free French Naval Forces,"1,150",Sunk
19 April 1942,Hefz el Rahman *,Egypt,90,Sunk
22 April 1942,Aziza *,Egypt,100,Sunk
22 April 1942,Havre,United Kingdom,"2,073",Sunk
10 November 1942,Garlinge,United Kingdom,"2,012",Sunk
13 November 1942,Maron,United Kingdom,"6,487",Sunk
10 February 1943,Saroena,United Kingdom,"6,671",Damaged
11 February 1943,Al Kasbanah *,Egypt,110,Sunk
11 February 1943,Dolphin *,Palestine,135,Sunk
11 February 1943,Husni *,Lebanon,107,Sunk
11 February 1943,Sabah al Kheir *,Egypt,36,Sunk
20 March 1943,Bourgheih *,Egypt,244,Sunk
20 March 1943,Mawahab Allah*,Syria,77,Sunk
28 March 1943,Rouisdi *,Egypt,133,Sunk
