Name,Latest position,Latest school / organization,Relationship to Summitt,Years at Tennessee
Jody Adams,Assistant Coach,Southern Illinois,Player,1989-93
Jane Albright,Head coach,Nevada,Graduate assistant,1981-83
Greg Brown,Head coach,Lipscomb,Graduate assistant Assistant,2002-04
Niya Butts,Assistant coach,Kentucky,Player,1993-1997
Tasha Butts,Assistant coach,LSU,Player,2000-2004
Daedra Charles,Assistant coach,Tennessee,Player,1988-91
Abby Conklin,Assistant coach,University of San Francisco,Player,1993-97
Nancy Darsch,Assistant coach,Seattle Storm ( WNBA ),Assistant,1978-85
Mickie DeMoss,Director of Offensive Analytics,Vanderbilt,Assistant Assoc . Head Coach,1985-2003 2010-12
Nikki Fargas,Head coach,LSU,Player Assistant,1990-94 2003-08
Tonya Edwards,Assistant Coach,Los Angeles Sparks ( WNBA ),Player,1986-90
Kyra Elzy,Assoc . Head Coach,Kentucky,Player,1996-2001
Sharon Fanning-Otis,Head coach,Mississippi State,Graduate assistant,1975-76
Stephanie Glance,Head coach,Columbia,Assistant,2009-10
Bridgette Gordon,Assistant coach,Tennessee,Player,1985-89
Tanya Haave,Head coach,Metropolitan State,Player,1980-84
Kellie Harper,Head coach,Tennessee,Player,1995-99
Sylvia Hatchell,Head coach,North Carolina,Graduate assistant,1974-75
Lea Henry,Head coach,Georgia State,Player,1979-83
Gwen Jackson,Head coach,St. Paul 's ( VA ),Player,1999-2003
