School,City,State,Other Affiliations
Arlington Baptist University,Arlington,Texas,Independent ( ACCA )
Barclay College,Haviland,Kansas,Midwest Christian College Conference ( ACCA )
Central Christian College of the Bible,Moberly,Missouri,Midwest Christian College Conference ( ACCA )
Champion Christian College,Hot Springs,Arkansas,
Dallas Christian College,Farmers Branch,Texas,Independent ( ACCA )
Kansas Christian College,Overland Park,Kansas,Independent ( ACCA )
Manhattan Christian College,Manhattan,Kansas,Midwest Christian College Conference
Ozark Christian College,Joplin,Missouri,Midwest Christian College Conference ( ACCA )
Portland Bible College,Portland,Oregon,
Randall University,Moore,Oklahoma,Independent ( ACCA )
SAGU American Indian College,Phoenix,Arizona,
Southwestern Adventist University,Keene,Texas,USCAA
Spurgeon College,Kansas City,Missouri,
