Year,French title,English title,Directed by
1990,Cyrano de Bergerac,,Jean-Paul Rappeneau
1990,,Singapore Sling,Nikos Nikolaidis
1991,Les Amants du Pont-Neuf,The Lovers on the Bridge,Leos Carax
1991,Delicatessen,Delicatessen,Jean-Pierre Jeunet
1992,La Belle histoire,,Claude Lelouch
1992,Cuisine et dépendances,,Philippe Muyl
1992,C'est arrivé près de chez vous,Man Bites Dog,"Rémy Belvaux , André Bonzel & Benoît Poelvoorde"
1993,Tout ça ... pour ça !,,Claude Lelouch
1993,Le Sexe des étoiles,The Sex of the Stars,Paule Baillargeon
1993,Tango,Tango,Patrice Leconte
1993,Trois couleurs : Bleu,,Krzysztof Kieślowski
1993,"Un , deux , trois , soleil",,Bertrand Blier
1993,Ma saison préférée,My Favorite Season,André Téchiné
1994,La Reine Margot,Queen Margot,Patrice Chéreau
1994,Un indien dans la ville,"Little Indian , Big City",Hervé Palud
1994,Bonsoir,Good evening,Jean-Pierre Mocky
1994,Trois couleurs : Blanc,,Krzysztof Kieślowski
1994,Trois couleurs : Rouge,,Krzysztof Kieślowski
1994,Le Cri du cœur,The Heart 's Cry,Idrissa Ouedraogo
1994,La Cité de la peur,La Cité de la peur ( aka Le film de les Nuls ),Alain Berbérian
