Club,Titles,Runners-up,Winning Years
HJK,29,14,"1911 , 1912 , 1917 , 1918 , 1919 , 1923 , 1925 , 1936 , 1938 , 1964 , 1973 , 1978 , 1981 , 1985 , 1987 , 1988 , 1990 , 1992 , 1997 , 2002 , 2003 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2017 , 2018"
FC Haka,9,7,"1960 , 1962 , 1965 , 1977 , 1995 , 1998 , 1999 , 2000 , 2004"
HPS,9,6,"1921 , 1922 , 1926 , 1927 , 1929 , 1932 , 1934 , 1935 , 1957"
TPS,8,12,"1928 , 1939 , 1941 , 1949 , 1968 , 1971 , 1972 , 1975"
HIFK,7,7,"1930 , 1931 , 1933 , 1937 , 1947 , 1959 , 1961"
KuPS,6,10,"1956 , 1958 , 1966 , 1974 , 1976 , 2019"
FC Kuusysi,5,4,"1982 , 1984 , 1986 , 1989 , 1991"
Kiffen,4,-,"1913 , 1915 , 1916 , 1955"
ÅIFK,3,5,"1910 , 1920 , 1924"
Reipas Lahti,3,3,"1963 , 1967 , 1970"
VIFK,3,2,"1944 , 1946 , 1953"
Tampere United,3,-,"2001 , 2006 , 2007"
VPS,2,5,"1945 , 1948"
KTP,2,-,"1951 , 1952"
OPS,2,-,"1979 , 1980"
FC Jazz,2,-,"1993 , 1996"
MyPa,1,5,2005
FC Inter Turku,1,3,2008
SJK,1,1,2015
PUS,1,1,1909
