Region,Rnd,Host,Venue,City,State
East,1 & 2,Purdue University,Mackey Arena,West Lafayette,Indiana
East,1 & 2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
East,1 & 2,Kansas State University,Bramlage Coliseum,Manhattan,Kansas
East,1 & 2,Old Dominion University,Ted Constant Convocation Center,Norfolk,Virginia
Mideast,1 & 2,University of Oklahoma,Lloyd Noble Center,Norman,Oklahoma
Mideast,1 & 2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
Mideast,1 & 2,University of Colorado,CU Events Center ( Coors Events Center ),Boulder,Colorado
Mideast,1 & 2,Pennsylvania State University,Bryce Jordan Center,University Park,Pennsylvania
Midwest,1 & 2,University of Georgia,Georgia Coliseum ( Stegeman Coliseum ),Athens,Georgia
Midwest,1 & 2,North Carolina State University,Reynolds Coliseum,Raleigh,North Carolina
Midwest,1 & 2,University of New Mexico,The Pit ( arena ),Albuquerque,New Mexico
Midwest,1 & 2,Texas Tech University,United Spirit Arena,Lubbock,Texas
West,1 & 2,University of Oregon,McArthur Court,Eugene,Oregon
West,1 & 2,Stanford University,Maples Pavilion,Stanford,California
West,1 & 2,University of Cincinnati,Shoemaker Center,Cincinnati,Ohio
West,1 & 2,Louisiana Tech University,Thomas Assembly Center,Ruston,Louisiana
