No,Commander,Took office,Left office,Time in office,Unit
1,"Sinclair , Roderick Brigadier The Earl of Caithness CBE , DSO ( 1906-1965 )",20 October 1949,17 May 1952,"2 years , 210 days",Gordon Highlanders
2,"Reid , Francis Brigadier Sir Francis Reid CBE ( 1900-1970 )",18 May 1952,8 February 1955,"2 years , 266 days",Royal Artillery
3,"Muttukumaru , Anton Major General Anton Muttukumaru OBE , ED ( 1908-2001 )",9 February 1955,31 December 1959,"4 years , 326 days",Ceylon Light Infantry
4,"Wijeyekoon , H. Major General H. W. G. Wijeyekoon OBE , ED ( 1911-1969 )",1 January 1960,31 December 1963,"3 years , 364 days",Ceylon Light Infantry
5,"Udugama , Richard Major General Deshamanya Richard Udugama MBE ( 1911-1995 )",1 January 1964,10 November 1966,"2 years , 313 days",Ceylon Light Infantry
6,"Heyn , Bertram Major General Deshabandu Bertram Heyn ( 1912-1998 )",11 November 1966,30 September 1967,323 days,Ceylon Light Infantry
7,"Attygalle , Sepala Lieutenant General Deshamanya Sepala Attygalle LVO ( 1922-2001 )",1 October 1967,13 October 1977,"10 years , 12 days",Sri Lanka Armoured Corps
8,"Perera , Denis Lieutenant General Deshamanya Denis Perera VSV ( 1930-2013 )",14 October 1977,13 October 1981,"3 years , 364 days",Sri Lanka Engineers
9,"Weeratunga , Tissa Lieutenant General Tissa Weeratunga VSV ( 1930-2003 )",14 October 1981,11 February 1985,"3 years , 120 days",Gemunu Watch
10,"Seneviratne , Nalin Lieutenant General Nalin Seneviratne VSV ( 1931-2009 )",12 February 1985,15 August 1988,"3 years , 185 days",Sri Lanka Engineers
11,"Wanasinghe , Hamilton Lieutenant General Hamilton Wanasinghe VSV",16 August 1988,15 November 1991,"3 years , 91 days",Sri Lanka Artillery
12,"Waidyaratne , Cecil Lieutenant General Cecil Waidyaratne VSV ( 1938-2001 )",16 November 1991,31 December 1993,"2 years , 45 days",Sri Lanka Armoured Corps
13,"Silva , G. Lieutenant General G. H. De Silva RWP , VSV , USP ( born 1940 )",1 January 1994,30 April 1996,"2 years , 120 days",Gemunu Watch
14,"Daluwatte , Rohan Lieutenant General Rohan Daluwatte RWP , RSP , VSV , USP ( 1941-2018 )",1 May 1996,15 December 1998,"2 years , 228 days",Sri Lanka Armoured Corps
15,"Weerasooriya , C. Lieutenant General C. S. Weerasooriya RWP , RSP , VSV , USP",16 December 1998,24 August 2000,"1 year , 252 days",Sri Lanka Artillery
16,"Balagalle , Lionel Lieutenant General Lionel Balagalle RWP , RSP , VSV , USP , VSP",25 August 2000,30 June 2004,"3 years , 310 days",Sri Lanka Artillery
17,"Kottegoda , Shantha Lieutenant General Shantha Kottegoda WWV , RWP , RSP , VSV , USP , VSP ( born 1949 )",1 July 2004,5 December 2005,"1 year , 157 days",Sri Lanka Light Infantry
18,"Fonseka , Sarath Lieutenant General Sarath Fonseka RWP , RSP , VSV , USP ( born 1950 )",6 December 2005,15 July 2009,"3 years , 221 days",Sri Lanka Sinha Regiment
19,"Jayasuriya , Jagath Lieutenant General Jagath Jayasuriya VSV , USP",15 July 2009,1 August 2013,"4 years , 17 days",Sri Lanka Armoured Corps
20,"Ratnayake , Daya Lieutenant General Daya Ratnayake WWV , RWP , RSP , USP",1 August 2013,21 February 2015,"1 year , 204 days",Sri Lanka Light Infantry
