Dates,Tournament,Location,Winner
"Oct 31 , 2013",Anita Boon Pro-Am,North Shore Golf Club,Karen Pearce ( 1 )
Jan 7,BWAC Regional Employment & Community Services ALPG Pro-Am,Yamba Golf Club,Joanna Klatten ( 2 )
Jan 10,Ingham 's Antill Park Pro-Am,Antill Park Country Golf Club,Joanna Klatten ( 3 )
Jan 13-14,Moss Vale Classic,Moss Vale Golf Club,Bree Arthur ( 3 )
Jan 17-18,Mount Broughton Classic,Mount Broughton Golf and Country Club,Daniela Holmqvist ( n/a )
Jan 20,Renault Ladies Pro-Am,Castle Hill Country Club,Kylie Walker ( n/a )
Jan 24-26,Bing Lee Fujitsu General Women 's New South Wales Open,Oatlands Golf Club,Joanna Klatten ( 4 )
Jan 31 - Feb 2,ISPS Handa New Zealand Women 's Open,Clearwater Golf Club,Mi Hyang Lee ( n/a )
Feb 6-9,Volvik RACV Ladies Masters,RACV Royal Pines Resort Golf Club,Cheyenne Woods ( n/a )
Feb 13-16,ISPS Handa Women 's Australian Open,Victoria Golf Club,Karrie Webb ( 13 )
Feb 20-23,Oates Victorian Open,Thirteenth Beach Golf Club,"Minjee Lee ( n/a , amateur )"
