Name,Year,Capacity ( MW ),Location,Owner,Status
Ardenville Wind,2010,69,Fort Macleod,TransAlta,Operational
Blackspring Ridge Wind Project,2013,300,Carmangay,EDF Renewables / Enbridge,Operational
Blue Trail,2009,66,Fort Macleod,TransAlta,Operational
Bull Creek Wind Facility,2015,29,Chauvin,BluEarth Renewables,Operational
Castle River,2000-2001,44,Pincher Creek,TransAlta,Operational
Castle Rock Ridge 2,2019,29,Pincher Creek,Enel Green Power,Approved
Castle Rock Ridge Wind Farm,2012,76,Pincher Creek,Enel Green Power,Operational
Chin Chute,2006,30,Taber,"Acciona , Enbridge , Suncor Energy",Operational
Cowley North,2001,20,Cowley,TransAlta,Operational
Cowley Ridge,1993,21,Pincher Creek,TransAlta,Decommissioned
Ghost Pine,2010,82,Kneehill County,NextEra Energy,Operational
Halkirk,2012,149.4,Halkirk,Capital Power Corporation,Operational
Kettles Hill,2008,63,Pincher Creek,Enmax,Operational
Magrath,2004,30,Magrath,"Acciona , Enbridge , Suncor Energy",Operational
McBride Lake,2003,75,Fort Macleod,"Enmax , TransAlta",Operational
Oldman 2,2014,46,Pincher Creek,IKEA,Operational
Oldman River Wind Project,2007,3.6,Pincher Creek,Alberta Wind Energy Corporation,Operational
Riverview,2019,115,Pincher Creek,Enel Green Power,Approved
Sinnott,2001,7,Cowley,TransAlta,Operational
Soderglen,2006,70.5,Fort Macleod,"Nexen , TransAlta",Operational
