Title,Publisher,First Year,Last Year
Le Petit Vingtième,Le Vingtième Siècle,1928,1940
Spirou magazine,Dupuis,1938,ongoing
Tintin magazine,Le Lombard Média-Participations,1946,1993
Pilote magazine,Dargaud,1959,1989
Pif gadget,French Communist Party,1969 2004,1994 2009
L'Écho des savanes,Self-published Albin Michel,1972,2006
Métal Hurlant,Les Humanoïdes Associés Humanoids Publishing / DC Comics,1974 2002,1987 ongoing
Fluide Glacial,Groupe Flammarion,1975,ongoing
À Suivre magazine,Casterman,1979,1997
Lapin,L'Association,1999,ongoing
