,Name on the Register,Date listed,Location,City or town
1,Administration Building,"May 16 , 1989 ( # 88001564 )","1900 N. White Sands Boulevard , New Mexico School for the Blind and Visually Impaired 32°54′51″N 105°57′33″W / 32.914167°N 105.959167°W / 32.914167 ; -105.959167 ( Administration Building )",Alamogordo
2,Alamogordo Woman 's Club,"August 4 , 2003 ( # 03000734 )",Southeastern corner of the junction of 12th St. and Indiana Ave. 32°54′12″N 105°57′22″W / 32.903333°N 105.956111°W / 32.903333 ; -105.956111 ( Alamogordo Woman 's Club ),Alamogordo
3,Archeological Site No . AR-03-08-02-409,"April 13 , 1998 ( # 98000278 )",Address Restricted,Timberon
4,Archeological Site No . AR-03-08-02-415,"April 13 , 1998 ( # 98000277 )",Address Restricted,Timberon
5,Archeological Site No . AR-03-08-03-128,"November 24 , 1995 ( # 95001479 )",Address Restricted,Queen
6,Auditorium and Recreation Building,"May 16 , 1989 ( # 88001565 )","1900 N. White Sands Boulevard , New Mexico School for the Blind and Visually Impaired 32°54′49″N 105°57′30″W / 32.913611°N 105.958333°W / 32.913611 ; -105.958333 ( Auditorium and Recreation Building )",Alamogordo
7,Bluewater Lookout Complex,"January 28 , 1988 ( # 87002486 )",Lincoln National Forest 32°44′28″N 105°27′54″W / 32.741111°N 105.465°W / 32.741111 ; -105.465 ( Bluewater Lookout Complex ),Weed
8,"Bridge A 249-Cloudcroft , New Mexico","December 29 , 2015 ( # 15000948 )","65 E. Little Mexican Ave. 32°57′36″N 105°44′55″W / 32.959900°N 105.748740°W / 32.959900 ; -105.748740 ( Bridge A 249-Cloudcroft , New Mexico )",Cloudcroft vicinity
9,Carrisa Lookout Complex,"January 28 , 1988 ( # 87002488 )",Lincoln National Forest 32°40′34″N 105°37′09″W / 32.676111°N 105.619167°W / 32.676111 ; -105.619167 ( Carrisa Lookout Complex ),Long Canyon
10,Central Receiving Building,"May 16 , 1989 ( # 88001566 )","1900 N. White Sands Boulevard , New Mexico School for the Blind and Visually Impaired 32°54′51″N 105°57′29″W / 32.914167°N 105.958056°W / 32.914167 ; -105.958056 ( Central Receiving Building )",Alamogordo
11,Circle Cross Ranch Headquarters,"November 17 , 1980 ( # 80002563 )",Southwest of Sacramento 32°39′26″N 105°42′20″W / 32.657222°N 105.705556°W / 32.657222 ; -105.705556 ( Circle Cross Ranch Headquarters ),Sacramento
12,Fresnal Shelter,"April 13 , 1998 ( # 98000315 )",Address Restricted,High Rolls
13,Juan Garcia House,"October 23 , 1980 ( # 80002559 )",Tularosa St. 32°58′40″N 105°56′31″W / 32.9778652°N 105.9419335°W / 32.9778652 ; -105.9419335 ( Juan Garcia House ),La Luz
14,Hay Canyon Logging Camp,"January 2 , 1992 ( # 91001880 )",Address Restricted,Mayhill
15,Hubbell Canyon Log Chute,"December 31 , 1991 ( # 91001882 )",Address Restricted,Cloudcroft
16,Infirmary Building,"May 16 , 1989 ( # 88001567 )","1900 N. White Sands Boulevard , New Mexico School for the Blind and Visually Impaired 32°55′19″N 105°57′30″W / 32.921944°N 105.958333°W / 32.921944 ; -105.958333 ( Infirmary Building )",Alamogordo
17,Jackson House,"January 28 , 2004 ( # 03001511 )",1700 9th St. 32°53′56″N 105°56′23″W / 32.898889°N 105.939722°W / 32.898889 ; -105.939722 ( Jackson House ),Alamogordo
18,La Luz Historic District,"October 23 , 1980 ( # 80002560 )",Off State Road 83 32°58′42″N 105°56′33″W / 32.978333°N 105.9425°W / 32.978333 ; -105.9425 ( La Luz Historic District ),La Luz
19,La Luz Pottery Factory,"May 29 , 1979 ( # 79001544 )",2 miles ( 3.2 km ) east of La Luz 32°58′45″N 105°54′08″W / 32.979167°N 105.902222°W / 32.979167 ; -105.902222 ( La Luz Pottery Factory ),La Luz
20,Oliver Lee Dog Canyon Ranch,"May 26 , 2015 ( # 15000263 )",Address Restricted,Alamogordo vicinity
