Year,Title,Role,Director
1975,"Cornbread , Earl and Me",Wilford Robinson,Joseph Manduke
1979,Fast Break,Street Kid,Jack Smight
1979,Apocalypse Now,Tyrone Mr. Clean Miller,Francis Ford Coppola
1980,Willie & Phil,Wilson,Paul Mazursky
1982,Death Wish II,Cutter,Michael Winner
1983,Rumble Fish,Midget,Francis Ford Coppola
1984,The Cotton Club,Bumpy Rhodes,Francis Ford Coppola
1985,The Color Purple,Swain,Steven Spielberg
1986,Quicksilver,Voodoo,Thomas Michael Donnelly
1986,Band of the Hand,Cream,Paul Michael Glaser
1987,A Nightmare on Elm Street 3 : Dream Warriors,Max,Chuck Russell
1987,Gardens of Stone,Sgt . Flanagan,Francis Ford Coppola
1987,Cherry 2000,Glu Glu Lawyer,Steve De Jarnatt
1988,School Daze,Vaughn Dap Dunlap,Spike Lee
1988,Red Heat,Lt. Charlie Stobbs,Walter Hill
1990,King of New York,Jimmy Jump,Abel Ferrara
1990,Cadence,Stokes,Martin Sheen
1991,Class Action,Nick Holbrook,Michael Apted
1991,Boyz n the Hood,Jason Furious Styles,John Singleton
1992,Deep Cover,Russell Stevens Jr. / John Hull,Bill Duke
