Year,Title,Role
1999,Election,Paul Metzler
1999,American Pie,Chris 'Oz ' Ostreicher
2000,Here on Earth,Kelvin 'Kelley ' Morse
2001,Say It Is n't So,Gilbert Noble
2001,American Pie 2,Chris 'Oz ' Ostreicher
2002,Rollerball,Jonathan Cross
2002,We Were Soldiers,2nd Lt. Jack Geoghegan
2003,The United States of Leland,Allen Harris
2005,Tilt-A-Whirl,Customer # 2
2005,Just Friends,Dusty Dinkleman
2005,The Long Weekend,Cooper Waxman
2006,American Dreamz,William Williams
2006,"Lenexa , 1 Mile",Andy Lausier
2007,The Good Life,Tad Tokas
2007,Day Zero,George Rifkin
2007,New York City Serenade,Ray
2008,Hank and Mike,Conrad Hubriss
2009,Street Fighter : The Legend of Chun-Li,Charlie Nash
2009,The Six Wives of Henry Lefay,Stevie
2009,Play Dead,Ronnie Reno
