Name,Location,Year Built,Length ( ft ),Spans,Design and Historical Notes
Downsville Bridge,Delaware County,1854,174,East Branch of the Delaware River,Listed on the National Register of Historic Places in 1999
Fitches Bridge,Delaware County,1870,100,West Branch of the Delaware River,Listed on the National Register of Historic Places in 1999
Hamden Bridge,Delaware County,1859,125,West Branch of the Delaware River,Listed on the National Register of Historic Places in 1999
"Lower Shavertown Bridge , or Campbell Bridge or Old Roscoe Bridge",Delaware County,1877,32,Trout Creek,Listed on the National Register of Historic Places in 1999
Tuscarora Club Bridge,Delaware County,1870,38,Mill Brook,
Jay Bridge,Essex County,1857,160,Ausable River,
Salisbury Center Bridge,Herkimer County,1875,50,Spruce Creek,Listed on the National Register of Historic Places in 1972
Hyde Hall Bridge,Otsego County,1825,53,Shadow Brook,Listed on the National Register of Historic Places in 1998 . Located in Glimmerglass State Park
Copeland Bridge,Saratoga County,1879,35,Beecher Creek,Listed on the National Register of Historic Places in 1998
Blenheim Bridge,Schoharie County,1855,232,Schoharie Creek,"Listed on the National Register of Historic Places in 1966 and National Historic Landmark in 1964 . Destroyed on August 28 , 2011 , by Tropical Storm Irene . Rebuilt in 2017-2018"
"Beaverkill Bridge , also known as Conklin Bridge",Sullivan County,1865,98,Beaver Kill,Listed on the National Register of Historic Places in 2007
"Bendo Bridge , or Willowemoc Covered Bridge",Sullivan County,1860,48,Willowemoc Creek,
Halls Mills Bridge,Sullivan County,1912,119,Neversink River,
"Van Tran Flat Bridge , formerly called the Mott 's Flat Bridge and also known as the Livingston Manor Bridge",Sullivan County,1860,117,Willowemoc Creek,
Newfield Bridge,Tompkins County,1853,115,Cayuga Creek,Listed on the National Register of Historic Places in 2000
"Ashokan Bridge , or New Paltz Campus Bridge or Turnwood Bridge",Ulster County,1889,62,Esopus Creek,Listed on the National Register of Historic Places in 2000
Forge Bridge,Ulster County,1906,27,Dry Brook,
Grants Mills Bridge,Ulster County,1902,66,Mill Brook,Listed on the National Register of Historic Places in 1999
Perrine 's Bridge,Ulster County,1844,138,Wallkill River,Listed on the National Register of Historic Places in 1973
"Tappan Bridge , or Kittle Bridge",Ulster County,1906,43,Dry Brook,
