Operator,City,State/Province,Country
Azienda Municipalizzata Trasporti ( now Gruppo Torinese Trasporti ),Turin,Turin,Italy
Azienda Napoletana Mobilità,Naples,Naples,Italy
Azienda Trasporti Milanesi,Milan,Milan,Italy
Baltimore Transit Company,Baltimore,Maryland,United States
Brooklyn & Queens Transit,New York,New York,United States
Chicago Surface Lines,Chicago,Illinois,United States
Cleveland Railway,Cleveland,Ohio,United States
Dallas Railway & Terminal Co,Dallas,Texas,United States
Department of Street Railways,Detroit,Michigan,United States
Empresa Municipal de Transportes,Madrid,Madrid,Spain
International Railway Co,Buffalo,New York,United States
Leningrad,Leningrad,Russian SFSR,Soviet Union
London Street Railway,London,Ontario,Canada
Los Angeles Railway,Los Angeles,California,United States
Louisville Railway,Louisville,Kentucky,United States
Melbourne and Metropolitan Tramways Board,Melbourne,Victoria,Australia
New York State Railways,Rochester & Syracuse,New York,United States
Ottawa Transportation Commission,Ottawa,Ontario,Canada
Philadelphia Rapid Transit & Philadelphia Transportation Company,Philadelphia,Pennsylvania,United States
"Porto Rico Railway , Light & Power Co",San Juan,,Puerto Rico
